mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/AbMajor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,F#/GbMajor_count,Gminor_count,G#/Abminor_count,Aminor_count,Dminor_count
ISTJ,SJ,Istj 😌,7n03GjfjmqX9aVDgEML0Uu,46,0.563391304,0.160082962,0.487052174,0.231732843,-8.983978261,4.55064507,0.652173913,0.481543412,0.081767391,0.070465983,0.42290913,0.352883123,0.157682609,0.140379108,0.350443478,0.210634011,128.3426087,34.81741291,0.058768964,0.182132921,2,2,1,4,1,2,2,2,3,3,3,3,5,3,2,1,1,2,4,0,0,0,0,0
ISTJ,SJ,POV: you’re an istj ,2AxqeM4iZrKp93SHznEJpl,50,0.63074,0.138956726,0.68818,0.169321056,-7.0192,3.403806681,0.58,0.498569382,0.089074,0.091059395,0.1547273,0.198818238,0.218076,0.152763656,0.516272,0.233472312,126.9971,31.12269602,0.18105595,0.306965826,3,4,1,1,2,0,0,2,2,1,2,3,2,6,3,2,1,3,3,3,1,2,3,0
ISTJ,SJ,This Is IST IST,37i9dQZF1DZ06evO3wl9ok,29,0.44972069,0.123456115,0.657755172,0.24768216,-8.765172414,5.309713276,0.586206897,0.501230014,0.039444828,0.013284835,0.214909737,0.285287909,0.166103448,0.130573388,0.289044828,0.186468263,125.0525862,26.63300983,0.450217241,0.321762758,1,3,0,1,3,0,1,2,3,0,2,1,3,0,0,0,1,2,0,0,0,1,4,1
ISTJ,SJ,ISTJ energy.,0wiM37pbpWhoNRGJSougUy,50,0.54702,0.169997178,0.55034,0.233102739,-9.4898,5.860784558,0.56,0.501426536,0.060368,0.052013191,0.319668232,0.334081615,0.182704,0.133359193,0.416902,0.24352991,122.0637,28.364908,0.181309319,0.324575907,1,4,2,1,2,1,1,3,2,1,5,4,5,0,3,1,1,3,2,2,0,1,5,0
ISTJ,SJ,This Is IAMJJ,37i9dQZF1DZ06evO3n6Dza,20,0.5934,0.159196139,0.5523,0.121467388,-9.5779,1.585899044,0.3,0.470162346,0.06076,0.030734866,0.140279,0.137380154,0.21524,0.182100196,0.38925,0.153762248,115.3575,34.0134128,0.12467022,0.255703546,0,1,1,0,1,0,0,1,0,0,1,3,1,0,1,0,0,5,0,1,0,1,2,1
ISTJ,SJ,ISTJ songs,4qhJjuTNmmAwRoFAER1Wxr,50,0.52244,0.157081697,0.55362,0.24032044,-8.684,4.008243495,0.8,0.404061018,0.052746,0.037984456,0.34194024,0.322176147,0.13787,0.072930418,0.41789,0.263363678,120.54648,36.50973855,0.048251888,0.175176349,1,9,2,5,3,1,0,0,3,0,2,2,6,1,2,1,4,0,3,2,2,0,1,0
ISTJ,SJ,istj 5w6,1sEZwkcsP4W1rgCvVQ3hFl,50,0.5643,0.125665128,0.49496,0.197566621,-9.04946,4.147099976,0.68,0.471212071,0.06993,0.069928944,0.385512822,0.331528469,0.160834,0.091370396,0.366208,0.22192583,121.07372,30.43687704,0.071911772,0.197500214,1,4,4,1,3,0,2,5,4,0,8,1,2,4,2,1,1,1,2,1,1,0,2,0
ISTJ,SJ,istj // the logistician ,00Ni0Ve2XMw43uPE6g73RN,26,0.537653846,0.142634902,0.607846154,0.202624321,-7.508384615,2.985350259,0.846153846,0.367946484,0.069230769,0.055682024,0.244834269,0.251550654,0.185346154,0.142474119,0.502038462,0.238382463,135.6893077,32.50127297,0.011187368,0.033549088,0,8,0,1,3,0,0,1,1,0,2,3,1,0,3,0,0,0,3,0,0,0,0,0
ISTJ,SJ,istj,4EpxqOOsU8y8CxKzn9AGVW,50,0.45036,0.146157416,0.5079,0.252152549,-10.16168,3.841948488,0.66,0.478518121,0.047934,0.051204267,0.41763566,0.362769009,0.158594,0.126971048,0.37792,0.223132057,117.9634,33.08258982,0.143011237,0.251180921,0,5,5,4,5,0,1,2,1,2,3,2,3,2,3,1,2,0,3,1,0,1,4,0
ISTJ,SJ,ISTJ playlist ᶠᵒʳ ʸᵒᵘ  ꨄ︎,5CqvuCVmeSDhHBQWceX7ty,50,0.56196,0.169695401,0.57313,0.250722445,-8.19666,4.035303138,0.62,0.490314351,0.065914,0.064139612,0.302781846,0.334778025,0.202914,0.156071556,0.427926,0.270402992,114.61918,29.41422517,0.142216002,0.290303522,1,4,2,3,4,0,3,3,2,1,1,0,4,2,4,5,2,0,1,1,0,3,2,2
ISTJ,SJ,"Virgo, ISTJ, and Dowon",6UKCZ2kH7sCFzg4u5135cv,50,0.62896,0.13236421,0.50304,0.181350822,-7.57832,2.859967036,0.7,0.46291005,0.085226,0.065671917,0.460976,0.276557098,0.18969,0.126910215,0.46658,0.201822016,108.32282,30.48896955,0.008630705,0.048522002,1,5,2,1,6,1,3,2,2,0,3,3,4,4,3,1,1,1,3,0,0,1,2,1
