mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,F#/GbMajor_count,D#_Ebminor_count,Dminor_count
ENTP,NT,Entp 😏,4ScfRJB3qcMUKdJ5mOZUB0,50,0.5948,0.171710245,0.654244,0.190828369,-7.28182,3.106315638,0.46,0.503457434,0.08305,0.07958097,0.1891014,0.222560359,0.164654,0.119852071,0.5235,0.209706233,124.98304,31.77578214,0.019518921,0.070477863,1,3,5,2,4,1,3,2,1,1,3,2,1,1,3,4,4,2,1,5,1,0,0,0
ENTP,NT,ENTP SONGS💜☯️,5wMUaaj4NELblAqovcEaW0,50,0.62742,0.169128147,0.70638,0.145132436,-5.55622,2.391363024,0.52,0.50467205,0.080818,0.080173709,0.12893164,0.19193984,0.175704,0.13145738,0.532058,0.214811509,122.73362,32.77634526,0.069875211,0.214579385,1,2,1,6,2,2,8,4,5,2,0,1,4,2,1,5,1,0,0,1,1,1,0,0
ENTP,NT,This Is EnteTainment,37i9dQZF1DZ06evO1rhreF,47,0.588297872,0.096188202,0.805297872,0.091112667,-5.985319149,1.182405729,0.617021277,0.491368607,0.38793617,0.098163662,0.186342553,0.139574057,0.174834043,0.121068432,0.456340426,0.194037567,106.9338298,31.13433524,0.000361908,0.002479674,1,4,1,5,7,1,1,0,1,1,6,0,3,2,4,2,1,1,1,2,1,1,1,0
ENTP,NT,ENTP playlist,5Ic6h1cZIT0MIe8qmyxhC1,50,0.63456,0.147020637,0.7178,0.168482422,-5.65886,2.19040765,0.44,0.501426536,0.097606,0.083357346,0.15279308,0.228842856,0.230142,0.149481303,0.62662,0.208085823,124.12734,29.62491086,0.033320922,0.129547171,0,2,3,3,3,1,5,3,4,1,2,0,3,0,3,4,2,0,1,8,0,0,1,1
ENTP,NT,This Is ENTRO//,37i9dQZF1DZ06evO0UiWBO,50,0.60052,0.149002841,0.51326,0.137843569,-10.72818,2.350138873,0.42,0.498569382,0.12863,0.09988814,0.30393662,0.256069495,0.180568,0.109296152,0.4614,0.157278902,109.30188,30.77080685,0.549839445,0.383057353,0,0,4,7,2,0,2,1,1,2,3,2,2,6,1,2,1,2,0,6,2,3,1,0
ENTP,NT,entp with them god complex,6yVzPCP7p5eslAiGcUkx0Q,50,0.6184,0.117700415,0.73876,0.145458818,-5.922,2.610379697,0.46,0.503457434,0.073938,0.056440816,0.129059768,0.187227956,0.208106,0.153100892,0.587602,0.210865209,120.80742,28.84046723,0.016417294,0.05374581,1,0,2,1,1,3,5,3,4,1,1,0,5,1,1,5,1,3,3,3,1,3,1,1
ENTP,NT,This Is Entrópica,37i9dQZF1DZ06evO1yU8j7,45,0.6958,0.104734643,0.6292,0.170049806,-9.236111111,3.661972979,0.511111111,0.50552503,0.07934,0.074137944,0.168597867,0.199749411,0.161486667,0.142096879,0.596351111,0.251238591,120.6827111,24.14471471,0.32993482,0.332746118,1,10,1,4,4,0,6,0,2,2,0,2,1,2,1,5,0,2,0,0,0,1,0,1
ENTP,NT,ENTP Vibes✨,0uC6hdh6IzY82HDdB9LahJ,50,0.62634,0.109399961,0.71138,0.161790352,-6.0563,2.467403537,0.52,0.50467205,0.068802,0.072952958,0.14823594,0.195787315,0.173194,0.121020463,0.59118,0.221123817,121.34684,27.80289372,0.036996468,0.11541078,1,3,2,2,2,2,3,3,4,1,3,0,1,2,3,1,3,3,1,1,1,4,0,4
ENTP,NT,This Is Entropia,37i9dQZF1DZ06evO1OtrVW,50,0.440538,0.200281808,0.683392,0.249062343,-10.4011,4.674756282,0.58,0.498569382,0.094572,0.106029091,0.248316634,0.302457214,0.251838,0.202030574,0.18229,0.156096552,117.57358,29.62817606,0.486780064,0.346393991,2,4,0,7,6,0,0,0,0,2,2,2,4,0,2,1,1,5,0,6,1,2,0,3
ENTP,NT,ENTP ,1UYKbtPkOMYZV1t2OUqjTF,50,0.6975,0.158905986,0.69708,0.163610518,-5.68806,2.419830078,0.5,0.505076272,0.093258,0.081628844,0.13146498,0.155844874,0.16866,0.119148991,0.590462,0.238427833,114.15946,21.23161812,0.021167065,0.04998029,3,4,1,1,2,2,1,2,6,2,1,1,5,2,1,2,1,4,1,4,2,2,0,0
ENTP,NT,entp woman,1nHkHqSwY42Bo3Zjuq63V8,50,0.66962,0.121941587,0.76294,0.12787293,-5.57532,2.266752955,0.58,0.498569382,0.106864,0.078732792,0.10734142,0.136198803,0.209258,0.175225648,0.6328,0.199977142,128.72414,23.89286763,0.046345275,0.14165874,1,4,2,1,4,2,4,0,1,2,2,1,7,2,1,2,2,3,4,1,0,2,0,2
ENTP,NT,ENTP playlist for ENTP’s 🎶,6G7tFpRW87k2HEHKdbLIug,50,0.62146,0.121783382,0.69892,0.163394957,-5.9964,2.805042267,0.48,0.50467205,0.095124,0.089425601,0.14539432,0.201601344,0.208864,0.166611404,0.51336,0.215459145,119.25842,26.92343466,0.098908064,0.232907593,0,4,0,3,2,0,5,3,3,1,2,1,2,2,3,4,3,4,1,4,1,1,1,0
ENTP,NT,Entp playlist 🛐,0alz3ht2DfCz8GsDEFYSvg,47,0.635276596,0.158704908,0.713914894,0.165970902,-5.913851064,2.516229875,0.425531915,0.499768679,0.111004255,0.10513011,0.131572404,0.191493028,0.206646809,0.141007568,0.620617021,0.202831002,123.6400851,30.88481769,0.019584731,0.061963577,0,0,0,4,1,1,6,3,2,1,2,0,4,3,2,4,2,1,0,7,1,1,1,1
ENTP,NT,ENTP🎶,4w3fRFFtbkLS4zhuI1Z5Rs,50,0.6647,0.139240396,0.48254,0.143748819,-7.9889,2.513730761,0.44,0.501426536,0.108068,0.095495679,0.3747896,0.268421565,0.154168,0.103393288,0.351722,0.202728878,118.0278,27.29031984,0.017835522,0.120551722,3,4,4,3,2,1,3,0,4,0,3,0,1,2,3,3,3,0,3,3,1,1,1,2
ENTP,NT,ENTP (PDB),3dsXsupZkWBN6xVGoi6DuL,50,0.61888,0.117758078,0.73448,0.173518009,-5.62928,2.644213019,0.5,0.505076272,0.103798,0.090180786,0.11421284,0.20106797,0.218506,0.172051627,0.54858,0.179650919,130.28572,31.55781823,0.018733145,0.058038606,2,3,2,2,5,0,3,0,1,4,1,2,4,3,1,2,3,2,1,4,0,2,1,2
ENTP,NT,ENTP | the debater,0twmRuA33TTiqNP7D0TGp7,50,0.66464,0.145969071,0.70786,0.17094957,-5.95096,2.588259284,0.48,0.50467205,0.07034,0.052723108,0.14371662,0.199332245,0.174154,0.14401898,0.58678,0.21981934,122.80742,24.68999887,0.042611722,0.137909366,2,1,1,3,4,0,2,5,5,2,2,0,4,2,1,4,1,1,1,4,0,2,1,2
ENTP,NT,ENTPlaylist,4EAyHF7rH9V0kHMmiwx8vq,50,0.59444,0.143586021,0.69124,0.203758116,-6.58426,2.568375114,0.5,0.505076272,0.075864,0.066514362,0.184416255,0.259803142,0.204954,0.166506383,0.502336,0.209628836,122.30032,30.09953896,0.038788143,0.161707946,4,6,1,0,3,0,4,3,2,3,2,2,1,3,2,2,3,1,1,3,0,3,0,1
