mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,Dminor_count,D#_EbMajor_count,Gminor_count,D#_Ebminor_count
ENTJ,NT,ENTJ vibes,6E1Dw6doXsvSAnU0LXGsC2,50,0.66952,0.145627599,0.73082,0.144578725,-5.57612,2.872304192,0.48,0.50467205,0.139072,0.098177226,0.1438192,0.183241029,0.147094,0.094023218,0.399198,0.217858378,138.2481,25.64693514,0.107225117,0.285330421,1,2,0,2,5,6,1,3,1,3,1,4,0,4,3,2,6,1,3,1,0,0,1,0
ENTJ,NT,ENTJ,512zYc6zItVSJjiSu6XbdO,29,0.648275862,0.136034632,0.650862069,0.165637238,-6.298103448,1.947777549,0.448275862,0.506120179,0.080051724,0.069427298,0.213693793,0.256626205,0.165568966,0.089765274,0.567806897,0.240263061,117.4466207,21.94660501,0.005992251,0.022548014,1,2,0,3,2,1,0,2,0,1,2,1,1,1,3,0,2,1,2,0,1,1,2,0
ENTJ,NT,POV: you’re an istj ,2AxqeM4iZrKp93SHznEJpl,50,0.63074,0.138956726,0.68818,0.169321056,-7.0192,3.403806681,0.58,0.498569382,0.089074,0.091059395,0.1547273,0.198818238,0.218076,0.152763656,0.516272,0.233472312,126.9971,31.12269602,0.18105595,0.306965826,3,4,1,1,2,2,2,1,2,3,3,2,2,6,3,3,2,1,3,3,0,0,1,0
ENTJ,NT,ENTJ,6v1iNL1RaSjCyTIDiQMsKR,43,0.663860465,0.135642138,0.672906977,0.141893624,-5.637372093,2.222835459,0.488372093,0.505780539,0.096448837,0.067926232,0.191369767,0.18830245,0.21382093,0.183429255,0.495060465,0.22293139,120.2366744,27.16587076,0.018057112,0.055457281,3,4,2,1,2,4,1,2,1,3,2,3,1,2,1,1,3,0,2,2,1,2,0,0
ENTJ,NT,lana ENTJ💋,2SlxjxrvE8gpnF91TY4HZN,13,0.436230769,0.155829048,0.537615385,0.110257682,-8.352538462,1.854653814,0.307692308,0.480384461,0.0373,0.007871679,0.331330769,0.201047479,0.181146154,0.115912773,0.230738462,0.175689255,113.1663846,20.12335983,0.007839543,0.020025435,1,2,3,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0
ENTJ,NT,ENTJ songs there are actually good songs too,1yoJgBppQYEOm3EXwBUEGV,50,0.49458,0.157010735,0.76966,0.182382488,-6.76088,2.841355128,0.64,0.484873221,0.075658,0.065182679,0.137895363,0.220797863,0.23579,0.21236998,0.53306,0.206859847,127.99516,26.43191106,0.084419492,0.215823112,0,3,2,3,6,3,4,0,0,1,2,4,0,1,5,5,2,2,1,2,1,0,3,0
ENTJ,NT,ENTJ,17eRE8rY7CpnVcg9J3NILp,40,0.5993,0.122178558,0.721375,0.163905177,-5.560425,2.065903377,0.45,0.503831474,0.0922525,0.072407908,0.14924755,0.199281459,0.1862375,0.128874548,0.47375,0.207553608,132.616675,31.13328718,0.017687792,0.050024469,3,2,0,5,2,5,1,2,2,0,2,1,2,2,5,1,3,0,0,0,2,0,0,0
ENTJ,NT,entj…,10ORKkfhOeej1U6o6ZL7KI,23,0.662478261,0.114908212,0.628304348,0.151839459,-7.001347826,2.832781842,0.434782609,0.506869802,0.085352174,0.075908784,0.243135957,0.208340675,0.169682609,0.100963678,0.572913043,0.20192616,117.3727826,24.59258475,0.011643523,0.030878403,2,4,0,0,0,2,0,1,0,1,1,1,1,1,2,0,1,1,0,0,1,2,2,0
ENTJ,NT,Bad Guy | ENTJ,6GDf2IiS7sPSo4YGRVjesh,50,0.61226,0.121158154,0.63972,0.174822013,-7.4105,3.023310149,0.36,0.484873221,0.088392,0.081992232,0.214543404,0.237853908,0.17348,0.145791454,0.370496,0.180958037,124.365,28.94200933,0.07228909,0.198979729,5,5,1,2,2,2,0,3,0,4,0,1,0,5,3,2,6,0,1,1,2,0,5,0
ENTJ,NT,ENTJ,2wHVjPEy3HjFKCrqWSoBv8,50,0.561,0.144385397,0.667,0.177124193,-5.97708,1.886477247,0.44,0.501426536,0.087502,0.082208392,0.17152439,0.171652941,0.184136,0.115072465,0.40453,0.213855994,117.99012,32.59642183,0.021636998,0.099862497,4,3,1,4,4,7,1,1,0,2,0,4,1,2,4,4,3,0,2,0,0,0,3,0
ENTJ,NT,ENTJ,3rLQPQNGAU6VZaKbGTqyna,35,0.564314286,0.164103047,0.566771429,0.169344599,-8.711428571,2.505767785,0.457142857,0.505432671,0.184085714,0.181895169,0.378114286,0.263028402,0.368388571,0.290914353,0.409934286,0.200864158,123.2565429,34.35533095,0.000104027,0.000442522,4,2,2,2,1,2,0,1,1,1,2,2,0,5,2,0,2,0,1,0,0,1,2,2
ENTJ,NT,ENTJ,08HZsGozHVmqnwCtOScqs9,50,0.6195,0.138358046,0.6667,0.154435939,-6.03826,2.150360272,0.42,0.498569382,0.097706,0.089435955,0.1578414,0.168673559,0.171312,0.136419471,0.497842,0.241409272,128.12508,30.30413512,0.010016518,0.040486273,3,1,2,2,3,5,2,0,2,2,2,7,1,0,2,1,4,0,4,0,2,1,2,2
ENTJ,NT,entj energy,2vusnF4BZSQFLHxAJSXgoJ,37,0.777810811,0.16523146,0.657324324,0.134016179,-6.262135135,2.073200252,0.702702703,0.463373192,0.196278378,0.13783549,0.137486378,0.168125395,0.169162162,0.118852052,0.480364865,0.240136207,129.4625405,25.72997648,0.047693032,0.180597309,1,5,2,7,4,2,0,1,1,0,1,3,2,4,0,0,2,0,1,1,0,0,0,0
ENTJ,NT,ENTJOY!,3Qr4eAx3MRe6maNa15kc1C,50,0.64974,0.101258975,0.7201,0.17654545,-7.0293,2.539304679,0.64,0.484873221,0.052156,0.03452189,0.3006742,0.238466729,0.188406,0.109457856,0.7235,0.164382487,125.27688,28.12363838,0.015437414,0.052250996,0,6,5,2,6,3,6,0,2,2,1,4,0,2,2,3,0,0,3,0,2,0,0,1
ENTJ,NT,ENTJ – The Jukeboxer (FTVC),3HhL9Ur9mt7jqW6aRxhgPW,34,0.608676471,0.12222005,0.702058824,0.174968905,-6.004823529,2.643879822,0.588235294,0.499554168,0.093488235,0.081045205,0.169642353,0.210835398,0.151276471,0.123746097,0.520676471,0.21784269,126.0377647,34.36390259,0.030997712,0.133809913,2,1,0,4,3,3,0,1,1,0,0,3,1,1,4,3,0,2,2,0,1,2,0,0
ENTJ,NT,May x Jethro<33,2x89QY39CeKOgtM0Nv2oXh,50,0.65402,0.118790244,0.60052,0.208430602,-7.22748,3.336198718,0.64,0.484873221,0.060886,0.075765848,0.334660702,0.330642123,0.13592,0.130689456,0.581516,0.248278626,115.82712,27.55848104,0.066577257,0.174637546,4,4,1,2,6,1,2,0,1,4,3,4,0,3,0,2,1,1,2,2,3,2,1,1
ENTJ,NT,ENTJ,653F79Sv9cy0J6PJl8gcK9,15,0.614666667,0.126351362,0.6826,0.12720164,-6.801066667,2.459159829,0.466666667,0.516397779,0.088046667,0.082724645,0.157222667,0.169915665,0.206766667,0.182565052,0.5012,0.213066455,119.5261333,27.52080183,0.005455381,0.017949729,2,1,2,0,1,0,1,1,0,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0
ENTJ,NT,Zu diesen Songs wurde ich entjungfert,4gGcPqMFClVGrg8b6Xnn5t,50,0.62922,0.113790586,0.86756,0.112031184,-5.67534,2.05132569,0.42,0.498569382,0.088738,0.080110724,0.041156954,0.085917825,0.244838,0.133923668,0.504866,0.241514862,132.75024,18.05647119,0.205965175,0.308142482,3,4,0,4,2,4,0,3,0,4,1,5,2,2,1,0,1,2,7,1,1,0,3,0
ENTJ,NT,ENTJ 👿👑,1z8XBXLvsTW7iDPCAmGJeL,35,0.63,0.152392103,0.639681429,0.224213919,-6.798257143,3.579770584,0.485714286,0.507092553,0.112208571,0.104849448,0.228351229,0.276677405,0.172342857,0.124563663,0.495025714,0.248967644,122.1355143,27.86729023,0.039740742,0.177846379,3,5,1,1,0,2,0,7,2,1,3,2,0,1,1,1,1,1,1,1,0,0,0,1
ENTJ,NT,ℯ𝓃𝓉𝒿~,1S6ztnpDQkfjcMCrbLFgL6,35,0.6202,0.13430733,0.686371429,0.171121575,-6.611,2.684392921,0.4,0.497050122,0.070994286,0.062959109,0.132478114,0.180762292,0.192817143,0.148736505,0.530971429,0.206231806,131.5959429,26.57768853,0.14144777,0.283814081,2,5,1,1,2,3,0,4,3,0,0,2,3,1,6,0,1,0,1,0,0,0,0,0
ENTJ,NT,ENTJ-A,3unaYCGVgbyBTz9Xb8Gkch,16,0.51375,0.126230213,0.8743125,0.064094429,-5.126375,2.128585661,0.375,0.5,0.10898125,0.05704,0.012857644,0.02075194,0.23553125,0.191227072,0.553875,0.207039086,143.1806875,31.23678849,0.005568294,0.016219325,0,1,2,2,1,1,0,1,0,1,1,0,0,0,1,0,0,0,2,1,1,0,1,0
ENTJ,NT,Reggie ENTJ Mode,29zCtqxaJYoRlzGXhTRlGD,12,0.716333333,0.159238719,0.697333333,0.101554583,-5.511,1.474684989,0.333333333,0.492365964,0.075841667,0.066096437,0.208715,0.199636057,0.167483333,0.142178542,0.591075,0.269539901,114.12625,21.49251784,0.009072777,0.024236098,2,0,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0
ENTJ,NT,She don’t wanna be saved,3zoBANB5te1iw2CvyPFSfk,33,0.588787879,0.124154077,0.650636364,0.172335758,-8.041515152,3.823676643,0.575757576,0.501890366,0.074724242,0.06360962,0.146512924,0.199791395,0.189069697,0.138229622,0.352066667,0.205524077,119.8053333,28.92555154,0.142702295,0.26826501,1,1,1,0,5,0,0,1,1,1,2,2,0,3,5,1,1,3,2,1,0,0,1,1
ENTJ,NT,I = ENTJ x ISTP,4kfm7679RxDbMOYdasK4f4,32,0.57453125,0.113941407,0.76765625,0.120690382,-4.90715625,1.293915541,0.28125,0.456803409,0.0961625,0.109275343,0.074861563,0.106854831,0.184434375,0.130899951,0.55034375,0.176924735,126.3418438,31.92973495,0.004224345,0.015542026,1,0,6,0,1,2,1,3,0,2,0,2,1,1,1,3,1,1,4,0,2,0,0,0
ENTJ,NT,EmBrAcE yOuR iNnEr EnTj,3usHtf7KBaq1uX0pmPjrBO,24,0.629166667,0.121789793,0.709125,0.176070221,-5.55975,2.304199705,0.708333333,0.464305621,0.147070833,0.127869538,0.217853042,0.222620057,0.173175,0.184011005,0.539458333,0.198908976,123.537375,31.88384046,0.012076731,0.046313279,3,4,2,0,2,0,1,0,0,0,2,1,0,2,0,2,0,1,1,0,0,2,1,0
ENTJ,NT,entj.,72nRUb2YCSTIGSmNjLLtT2,50,0.6325,0.133820509,0.73448,0.13595426,-5.64488,2.41283854,0.5,0.505076272,0.104246,0.083016016,0.1422497,0.171711132,0.177296,0.127990816,0.5114,0.210720145,126.94108,28.57582931,0.024484174,0.094764292,3,3,0,5,4,4,2,3,0,2,3,3,1,1,1,2,4,1,1,0,3,1,2,1
ENTJ,NT,# ENTJ PRIDE !,4rQCzJsm36SZNE6Ev708ws,50,0.6009,0.1510782,0.67926,0.160623252,-5.75024,2.038349388,0.44,0.501426536,0.102604,0.091802656,0.1171565,0.128278845,0.16482,0.111958602,0.457178,0.230875639,130.59548,33.6015458,0.03795026,0.175722914,2,2,2,4,3,4,1,5,0,2,1,5,1,3,3,3,5,0,3,0,0,0,1,0
ENTJ,NT,ENTJ VIBES,6VxkcyDhT60PFVu0VL6Iwd,50,0.68622,0.159190079,0.66342,0.181747649,-6.74504,2.904906792,0.46,0.503457434,0.182506,0.186042294,0.2732236,0.291836261,0.236906,0.173093247,0.60802,0.167481768,120.84802,32.07890581,0.016442837,0.065346125,3,6,2,0,5,2,1,4,2,2,1,3,0,2,4,1,4,1,4,1,1,0,1,0
ENTJ,NT,ENTJESQUE,0vN7akWhclZi0VNVadox3q,17,0.531411765,0.17704486,0.702941176,0.231830615,-6.826882353,2.804798809,0.647058824,0.492592183,0.092488235,0.078449394,0.206883859,0.220956019,0.191947059,0.107388024,0.506470588,0.257472114,130.3792353,36.12294909,0.037500288,0.131081062,0,2,1,0,5,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,2,0
