mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,Dminor_count,D#_Ebminor_count,D#_EbMajor_count,Gminor_count,G#/Abminor_count
INTP,NT,"INTP playlist (for intps, by an intp)",54YCS9D2dr1AisRScAx8gl,50,0.5857,0.123122181,0.5464,0.195950327,-8.07526,3.349413642,0.72,0.453557368,0.061458,0.045123848,0.31411022,0.281179513,0.178204,0.112029333,0.424752,0.222784323,122.05726,25.85888638,0.037784531,0.131623381,1,4,1,3,5,5,2,1,7,3,2,5,3,1,2,1,1,1,2,0,0,0,0,0
INTP,NT,Intp 😎,7a1NapcyZ2e8Bmox6V0MSH,50,0.56314,0.151430325,0.64688,0.214275775,-7.82996,3.61114323,0.58,0.498569382,0.085022,0.084508039,0.208496358,0.243454086,0.15803,0.110222758,0.48855,0.244547401,117.69496,30.0019562,0.093063938,0.242113211,1,4,1,1,6,1,3,1,2,5,1,4,3,2,2,1,1,3,1,3,1,1,1,1
INTP,NT,intp songs,5EfNQZ8IDMbCgdbBYy8pXO,50,0.53598,0.105503553,0.637996,0.194520721,-8.4439,3.283274524,0.58,0.498569382,0.045036,0.03457946,0.2069404,0.252572345,0.172044,0.109830718,0.3909,0.233747372,130.26218,32.72222624,0.410150344,0.379596005,3,5,0,4,2,3,0,2,3,0,2,3,4,4,4,2,0,4,2,0,0,0,1,2
INTP,NT,pov: you’re an intp,7GkfEvfJTmsiQi8cR352Fx,50,0.62094,0.125012066,0.64802,0.183510161,-6.70486,3.044992644,0.62,0.490314351,0.092752,0.078930039,0.20386442,0.237208076,0.211902,0.145613654,0.540372,0.22120076,121.26564,30.23527465,0.038935892,0.123803195,1,7,0,1,6,3,4,3,1,1,1,2,6,4,1,0,0,3,1,1,0,1,2,1
INTP,NT,intp/fyodor kinnie,5WVU9be3r7dV9G8HiXX6hF,50,0.54736,0.133261253,0.646766,0.211172758,-7.40412,2.869883306,0.5,0.505076272,0.064168,0.060270656,0.21871828,0.263076381,0.20247,0.14420516,0.358688,0.189251851,122.5529,28.78307907,0.122770039,0.251934338,4,1,2,3,4,5,1,1,0,1,0,2,5,3,2,2,0,4,5,0,0,2,3,0
INTP,NT,chaotic intp,3phBu4WSDfIafADiZLYH9X,50,0.55744,0.115411802,0.69364,0.167107904,-6.63086,2.46941872,0.36,0.484873221,0.0854,0.072419949,0.14181992,0.21709516,0.235784,0.160932437,0.493736,0.220986089,131.14996,30.71601701,0.057518382,0.178605486,0,2,2,1,3,5,1,5,0,3,1,2,2,2,4,4,1,5,0,1,0,1,3,2
INTP,NT,an (accurate) intp playlist,3HtnLWV9cNxuk1m1ZzX0Ld,50,0.58888,0.151988136,0.59836,0.196091478,-8.45104,3.37851855,0.72,0.453557368,0.082498,0.072026017,0.27993098,0.300928911,0.179868,0.121009127,0.48362,0.240266934,119.81268,30.34026927,0.113135694,0.232646045,0,4,1,3,5,3,2,4,4,1,4,2,1,0,3,1,2,1,4,0,0,2,3,0
INTP,NT,INTP 4w5 5w4 5w6 with mentally ill,4scKgpaIvVdECAhcmnHmhu,50,0.57232,0.137593076,0.578744,0.198622921,-7.9702,4.17749059,0.62,0.490314351,0.068336,0.074711941,0.2957512,0.329357483,0.174502,0.168061007,0.461162,0.20356229,121.3103,28.42451161,0.101859113,0.227109761,0,5,1,6,1,3,3,2,3,2,2,2,0,1,5,0,1,5,1,2,0,2,1,2
INTP,NT,"intp, the nihilist",6jaiF5P1zAD2D7DqNkTVDO,50,0.58144,0.130261771,0.647218,0.218226985,-7.36426,3.248175524,0.62,0.490314351,0.05577,0.047608725,0.19889637,0.25399682,0.169248,0.114536545,0.413102,0.23138193,120.51866,24.67831719,0.182683412,0.324487812,0,6,1,2,4,2,4,2,3,2,1,3,0,5,5,0,1,2,1,3,1,1,0,1
INTP,NT,INTP,13lqCIVUWYY6Ac3gq1WcNx,50,0.67568,0.167485661,0.65902,0.142565773,-5.7367,2.345536597,0.46,0.503457434,0.121242,0.086721172,0.23290244,0.203294156,0.200422,0.167227216,0.553216,0.202966963,119.94858,31.48986715,0.009464539,0.043130967,4,5,5,3,1,1,0,1,0,2,3,4,3,1,2,4,1,1,0,3,1,1,3,1
