mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,Bminor_count,BMajor_count,Dminor_count,EMajor_count,A#/BbMajor_count,D#_Ebminor_count
ESFP,SP,My Esfp vibes,2L4h7HaOgP8EPHIxfiIneP,50,0.74922,0.106384994,0.6212,0.134644202,-6.9064,2.495581491,0.48,0.50467205,0.08595,0.056523664,0.2551434,0.212584591,0.173746,0.119893125,0.5827,0.22640277,121.54908,24.1302935,0.042176326,0.171248284,1,5,1,3,3,1,1,2,3,4,1,2,2,6,4,2,0,0,7,1,0,0,1,0
ESFP,SP,ESFP (PDB),0vjCIXyUQkX1jH3azG1Uql,50,0.61952,0.161696395,0.73244,0.166513854,-5.35172,2.527649429,0.52,0.50467205,0.084444,0.067144621,0.119392377,0.173100924,0.215096,0.170488104,0.50662,0.23218312,124.66596,23.82698404,0.002660892,0.011073664,1,8,4,5,0,0,5,2,0,1,2,3,4,0,1,3,4,0,1,0,2,1,1,2
ESFP,SP,enfp? enfj? esfp?,6vw2NaGrj5TxLBszc4xsSX,50,0.62514,0.10451189,0.64836,0.18708677,-7.37272,3.491874002,0.62,0.490314351,0.07719,0.067575138,0.27860042,0.252300688,0.207516,0.150039257,0.554878,0.195548933,120.05332,30.43554331,0.008235571,0.035037122,2,3,1,3,8,2,3,0,0,3,0,0,5,0,3,2,5,1,6,0,1,2,0,0
ESFP,SP,esfp,31f4IrUA3elrKijYu1FrP5,20,0.57655,0.120807579,0.5247,0.177412128,-8.1925,2.358990272,1,0,0.03581,0.009881663,0.310425,0.274877331,0.14728,0.081725803,0.47147,0.212992901,113.16625,28.91502744,0.041485573,0.179552322,0,2,0,3,2,0,0,0,0,0,1,0,0,0,1,0,4,0,0,2,0,4,1,0
ESFP,SP,my esfp🧌,27n1wi2vWc9sWS0ZS1xjdQ,50,0.64948,0.144336659,0.65612,0.193410807,-5.7062,2.423200868,0.62,0.490314351,0.074598,0.075569947,0.280277606,0.271002645,0.162132,0.117086273,0.57782,0.216794616,113.94888,33.07021387,0.004683117,0.01776148,0,7,2,2,2,1,5,0,2,2,4,3,5,0,1,1,2,4,0,0,2,4,1,0
ESFP,SP,ESFP playlist ( PDB ),1odSiklmnYsEI5mhY1YBMP,50,0.67604,0.120547553,0.78088,0.128948279,-4.50236,1.800698762,0.54,0.503457434,0.096996,0.082484875,0.124237537,0.141601119,0.21338,0.164310176,0.58682,0.180507074,121.77988,27.005772,0.002186927,0.010066634,2,4,5,5,0,1,4,1,2,1,5,3,4,2,0,0,4,1,1,0,1,1,1,2
ESFP,SP,esfp vibes,7BjKIFTfotxqyvMMqc02Oy,50,0.5659,0.128777177,0.614,0.173856732,-7.49794,3.036990773,0.62,0.490314351,0.051958,0.02890638,0.27361872,0.285792622,0.186144,0.111218482,0.41665,0.222145879,129.67688,25.4312657,0.076862988,0.208476224,2,5,3,3,0,0,3,1,3,0,1,1,6,0,0,3,6,2,2,1,2,3,3,0
ESFP,SP,esfp - sir,62F3sQ9MNLMFQJMN1OejcR,14,0.585642857,0.148664624,0.6975,0.201545471,-5.230785714,2.083116237,0.785714286,0.425815314,0.045571429,0.017759956,0.263175071,0.275924712,0.230921429,0.151679045,0.514642857,0.176828299,131.8643571,32.6419951,8.36E-06,3.13E-05,1,1,1,2,1,0,0,0,2,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0
ESFP,SP,esfp vibe,3uNz2IAbh8ZLTRkRNvuHXd,50,0.633,0.149319272,0.74018,0.157113983,-5.46222,2.367334213,0.54,0.503457434,0.078868,0.073899956,0.117081137,0.168939282,0.179626,0.126850783,0.545178,0.221775619,128.39762,28.30077478,0.019690693,0.134132642,2,2,7,4,3,2,4,2,3,0,1,3,5,1,2,2,3,1,0,1,1,0,1,0
ESFP,SP,♡‌esfp-t𓂃,6PyQdnXWH1t7olY4fDzaVa,50,0.5321,0.146861485,0.46904,0.210844072,-8.63526,2.883719776,0.84,0.37032804,0.060966,0.073892552,0.496829,0.322357165,0.152056,0.105491134,0.362656,0.209315236,118.5479,31.31927701,0.058275791,0.167347901,2,4,0,2,5,3,0,0,7,1,2,1,2,0,3,1,2,0,2,2,1,6,4,0
ESFP,SP,esfp🧿,5bn8gMlCFABw8i6E4O6GdA,50,0.53834,0.195570918,0.59896,0.202858648,-8.04226,3.880064116,0.52,0.50467205,0.065294,0.059002924,0.355547,0.327602488,0.182056,0.13084066,0.405288,0.237405875,112.99464,22.95364222,0.099247361,0.229108881,4,3,4,1,6,1,3,3,3,1,1,1,4,2,0,1,3,2,1,2,2,1,1,0
ESFP,SP,ESFP songs 🌞,517r8wu6bbWiTKjori2Wfr,25,0.60808,0.118648613,0.72584,0.191388279,-5.10508,2.382948085,0.88,0.331662479,0.055,0.032640121,0.20347628,0.264297154,0.231,0.174526426,0.59668,0.231225489,119.63604,27.51043702,7.69E-05,0.000262579,0,1,3,1,2,2,0,0,2,0,0,0,2,0,3,0,0,0,0,2,0,6,1,0
ESFP,SP,the esfp experience,3MlXcHyxieyp0AzllLpK4V,32,0.677875,0.127909936,0.76484375,0.141870707,-5.2875,2.735062245,0.4375,0.504016129,0.10479375,0.062828866,0.13203875,0.152260948,0.203971875,0.159763017,0.6030625,0.1986808,117.1408438,27.74731073,0.000388885,0.001175888,0,2,3,1,1,1,6,1,2,0,0,3,7,1,0,0,0,1,0,0,1,0,0,2
ESFP,SP,esfp mode,4aAork1DT5VdQLPaWFncXx,20,0.648,0.19021539,0.8077,0.152291307,-4.8702,1.835191962,0.45,0.510417786,0.141515,0.111149673,0.051952,0.079906561,0.23165,0.149216619,0.61035,0.212363213,128.43585,32.19322545,0.059228296,0.212543306,0,0,1,3,1,2,1,4,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0
ESFP,SP,ESFP ;,3rY20dY1p2nAUW4Ini66zy,26,0.568576923,0.111125937,0.623846154,0.138544344,-6.847884615,1.809571404,0.769230769,0.429668924,0.050346154,0.035989757,0.164640923,0.19645547,0.145023077,0.121163276,0.387507692,0.193979908,115.9719615,23.67337656,0.077521735,0.216093586,1,1,2,2,2,0,0,0,2,0,1,0,2,0,2,1,4,1,1,1,0,1,2,0
ESFP,SP,ESFP vibes 🎉😁💃,1IhOJ2v86SGjaZThC7DFpP,50,0.66414,0.109237993,0.78214,0.100516221,-4.72594,1.695304047,0.48,0.50467205,0.075138,0.050094522,0.091159592,0.101400106,0.167172,0.123101075,0.65594,0.179581419,126.767,23.66246475,0.019303502,0.095309623,3,1,1,4,3,1,2,2,2,4,0,3,5,0,2,3,1,2,4,1,1,2,2,1
ESFP,SP,𝐄𝐒𝐅𝐏 🐚✨️🌾,2w8UNlncNPNdPA6FPb9z29,50,0.66398,0.127219799,0.6953,0.132341588,-5.642,1.710617325,0.52,0.50467205,0.087674,0.055601097,0.12089008,0.191625969,0.170562,0.10933512,0.52462,0.195501228,119.64498,24.73306859,0.021412103,0.108309887,2,7,1,5,3,1,4,2,1,2,0,2,3,3,1,1,3,2,3,0,1,2,0,1
ESFP,SP,ESFP survivor,3Ct64cmjaPRQ5N5Np1aO1a,37,0.575540541,0.132194216,0.430289189,0.208268427,-8.989756757,3.404725902,0.783783784,0.417341795,0.075286486,0.074542464,0.524237838,0.326946081,0.164643243,0.096661691,0.390748649,0.208788776,116.2952432,32.08146447,0.026706961,0.149786906,2,1,2,3,3,4,0,0,1,1,0,0,7,0,2,2,5,0,1,1,0,1,1,0
