mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,C#/DbMajor_count,F#/Gbminor_count,BMajor_count,D#_Ebminor_count,Dminor_count
INTJ,NT,intj,7kzra3Zrv2loJqIadNfeLW,50,0.46486,0.146199753,0.49412,0.200054038,-9.70554,3.764647184,0.64,0.484873221,0.043918,0.047373551,0.340450754,0.344770914,0.15587,0.102013255,0.307954,0.216800205,110.7934,28.36920684,0.299123372,0.381744487,2,3,2,6,1,2,2,2,4,1,2,2,1,2,2,5,1,1,1,4,3,1,0,0
INTJ,NT,INTJ,7puhlUIfjAztK9OY80Hdpl,14,0.605928571,0.177479127,0.709857143,0.095248547,-5.748142857,2.144558296,0.571428571,0.513552591,0.096728571,0.081132261,0.181235857,0.237919608,0.220607143,0.178412338,0.4159,0.22381789,132.9829286,33.66030249,0.027930461,0.076405034,1,1,1,1,0,2,0,1,0,3,1,0,0,2,0,0,0,0,0,1,0,0,0,0
INTJ,NT,intj,5xaZGag5kAlu90VeYFgbfF,10,0.6017,0.082027164,0.5916,0.189972045,-9.8482,4.054984992,0.5,0.527046277,0.09657,0.101840486,0.0259752,0.034484817,0.1722,0.148353032,0.28804,0.217412655,122.9772,17.50608539,0.3381915,0.3868936,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0
INTJ,NT,VAGEL'S SICKENING INTJ LIFTER PLAYLIST,1Gtun3SU1XKu96ek92sdaj,50,0.31778,0.108256176,0.84088,0.142754054,-6.12514,2.317962353,0.58,0.498569382,0.086138,0.059501181,0.055870874,0.165905498,0.220618,0.18486118,0.23219,0.138759331,114.88968,25.28149513,0.229098288,0.332352533,1,2,0,5,2,6,3,1,1,0,0,4,0,2,2,8,1,1,3,0,4,1,2,1
INTJ,NT,intj-6w5,1ERzKjq7BCfNeVcY0oXVBQ,30,0.534366667,0.15895423,0.476713333,0.180434638,-10.8545,3.839258008,0.8,0.406838102,0.03059,0.004743951,0.400561,0.311635572,0.138006667,0.064361216,0.394333333,0.218676952,115.8557667,28.96708947,0.427602228,0.323618415,0,1,0,2,1,0,1,0,4,4,0,3,1,3,2,1,0,2,0,2,2,0,0,1
INTJ,NT,"Intj, 5w6",48WTen2UbavMFIPddfEWcj,50,0.46892,0.154582762,0.66049,0.227201666,-10.42384,4.283882882,0.48,0.50467205,0.051986,0.043844652,0.201927788,0.265820409,0.182654,0.135840749,0.38704,0.232815245,127.34412,27.81149916,0.308782238,0.347163612,2,11,2,2,0,2,1,2,0,2,1,1,2,0,5,2,2,2,5,1,1,2,0,2
INTJ,NT,intj <3,4UPb0zCX9hJGYjo3kPM9QV,50,0.53398,0.130213246,0.71546,0.179798778,-5.95426,2.494766382,0.42,0.498569382,0.070994,0.062248237,0.096572882,0.139314912,0.19353,0.119297404,0.424668,0.193250249,127.61106,31.32500844,0.092610305,0.205814894,2,4,3,3,0,4,0,2,2,0,1,7,3,0,2,2,3,0,6,3,0,0,0,3
INTJ,NT,intj vibes?,1QMhioLZA4rdbp4oCoh42k,8,0.442875,0.154015247,0.615125,0.139965748,-7.330875,1.722751407,0.375,0.51754917,0.0468125,0.027437744,0.0785525,0.077895772,0.226,0.087831007,0.342775,0.185171748,110.40825,40.68732663,0.028447712,0.041954296,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1
INTJ,NT,INTJ enerjisi aldığım şarkılar,52akIRp72MtT5aAEn4qnpX,50,0.5767,0.121966916,0.67326,0.155319527,-6.55562,2.158075105,0.48,0.50467205,0.057194,0.035345839,0.19927878,0.220154776,0.17897,0.119598466,0.50176,0.223621725,125.04438,29.75441519,0.091203254,0.207543838,1,5,2,5,0,4,3,2,2,2,2,2,3,1,2,1,3,2,3,0,2,1,1,1
INTJ,NT,INTJ vibe,6F8SgNnJ5NKxqjukjT8S9A,50,0.57074,0.147579216,0.68354,0.141351091,-6.2884,2.292254527,0.32,0.471212071,0.106868,0.101268111,0.23269126,0.252921123,0.168468,0.112112696,0.41863,0.209960284,126.71356,31.9515088,0.020210883,0.064929425,3,0,2,2,2,5,2,4,1,1,1,1,5,4,3,1,2,0,3,2,3,0,1,2
INTJ,NT,Intj 5w4 kpop drift,5WZAZVvfzGbEgT17oRtJ7o,50,0.65258,0.10402062,0.782,0.135266178,-4.6268,1.772302745,0.5,0.505076272,0.139702,0.104836303,0.1051584,0.155688483,0.16679,0.11751988,0.480564,0.192287717,132.31492,28.53794906,0.007952191,0.035467499,1,1,5,4,0,0,0,2,0,0,0,2,0,2,0,3,6,1,5,7,3,5,1,2
INTJ,NT,INTJ.,6GPuthetpLpFidEqsGBACx,50,0.57498,0.135289484,0.6791,0.206607214,-7.83266,3.693767888,0.58,0.498569382,0.067952,0.056205764,0.204775312,0.262650933,0.18563,0.160506917,0.43701,0.285570369,128.39626,25.04977874,0.310557214,0.377141691,3,2,1,3,1,3,0,2,1,1,1,8,2,6,3,3,2,2,1,1,2,1,1,0
INTJ,NT,SIGMA-MALE INTJ BASED LIFTER CLASSICS 🔥‼️💉💉,4ESoX4rVi6GWJAw44bww5T,50,0.77384,0.131292688,0.64112,0.119767571,-6.25468,1.802430496,0.58,0.498569382,0.211024,0.130045964,0.165766,0.155500722,0.19158,0.139776169,0.479268,0.238348963,130.78872,25.99948625,0.00186576,0.011590435,2,3,2,4,0,3,2,3,2,1,0,3,2,3,2,1,3,0,3,7,0,3,0,1
INTJ,NT,INTJ girlboss vibes,3zQJSbapA5OxPOPLSXDaZM,50,0.69624,0.160073779,0.70986,0.164768608,-6.23776,2.669320135,0.54,0.503457434,0.08917,0.085505933,0.09767034,0.151914596,0.221372,0.194152701,0.6355,0.166504796,117.6554,22.0825436,0.087736928,0.187102088,0,3,1,1,0,3,1,4,1,4,0,4,2,5,1,2,3,0,2,4,3,2,3,1
INTJ,NT,Inside an INTJ,6kEPdkLxzHeXGz4WvnHAwh,50,0.57896,0.125978936,0.76986,0.160994994,-5.57122,2.018810685,0.52,0.50467205,0.068362,0.043436019,0.090313836,0.120338155,0.17381,0.114627632,0.367696,0.147797684,122.53836,24.63565828,0.001390495,0.006640875,4,2,3,5,3,2,5,3,0,0,3,0,2,4,2,2,1,1,0,1,0,3,3,1
INTJ,NT,Playlist del Pedrito Sola moradito para gente INTJ inestable,6wGQFANjqDVPw7GHWwm9kD,50,0.59034,0.152795797,0.6355,0.1557949,-7.2744,3.184118248,0.44,0.501426536,0.053786,0.045132861,0.20806166,0.215315018,0.173954,0.154787354,0.498014,0.227523844,121.7993,29.5410913,0.105267091,0.241902637,2,5,1,0,0,3,0,6,1,0,2,0,0,3,3,3,5,4,0,4,3,2,0,3
INTJ,NT,Intj song,7dpYqDlSXrbnBDFUj32Sdf,13,0.607384615,0.114331782,0.746769231,0.116660586,-6.274307692,2.070814911,0.538461538,0.518874522,0.087861538,0.082353077,0.279892308,0.309117183,0.220384615,0.223062349,0.561461538,0.21662472,122.267,27.85612855,0.218906636,0.364770908,0,0,0,1,0,1,0,1,3,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0
INTJ,NT,Based INTJ Lifter Playlist😎👆‼️,2sKAvHJSqRJ1yAk2RvnU8e,50,0.38486,0.085641162,0.9662,0.072270467,-3.69494,2.310981278,0.64,0.484873221,0.14367,0.06323757,0.003159216,0.009781079,0.262652,0.176470524,0.279208,0.167168444,122.22204,24.27620387,0.031245332,0.109219334,0,1,3,4,0,2,0,0,1,2,0,15,0,0,2,0,0,0,7,5,2,4,1,1
INTJ,NT,are you an intj too?,4jiKrKTMqMlsKwuPKt64wT,50,0.57408,0.1329382,0.69112,0.180838482,-6.18366,2.418508274,0.52,0.50467205,0.104204,0.11649762,0.147459142,0.195205016,0.179562,0.126963474,0.4334,0.205460756,122.28338,27.37949635,0.026874134,0.087626463,2,4,2,3,0,7,2,4,2,0,2,3,0,2,3,0,0,5,1,4,1,1,0,2
INTJ,NT,iMy INTJ,1tvGoOFylfMEaDP5WW2hlV,6,0.548833333,0.117329309,0.418833333,0.18641182,-11.79483333,3.355663059,0.833333333,0.40824829,0.037983333,0.017435299,0.705166667,0.28823561,0.113483333,0.027197236,0.300433333,0.231118512,119.6568333,24.04229615,0.126512567,0.307895542,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
INTJ,NT,iMy INTJ,1tvGoOFylfMEaDP5WW2hlV,6,0.548833333,0.117329309,0.418833333,0.18641182,-11.79483333,3.355663059,0.833333333,0.40824829,0.037983333,0.017435299,0.705166667,0.28823561,0.113483333,0.027197236,0.300433333,0.231118512,119.6568333,24.04229615,0.126512567,0.307895542,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
INTJ,NT,intj 6w5 // the skeptical architect,0sv5mMF21ubZPjUGLSyFWJ,50,0.60014,0.113915653,0.65438,0.165590457,-6.44844,2.616068347,0.52,0.50467205,0.070002,0.059412166,0.13342235,0.186775522,0.15686,0.1166257,0.47257,0.245989211,117.39884,30.95567931,0.018638231,0.083222291,1,3,2,2,0,5,2,2,2,3,4,4,1,3,1,2,3,1,0,4,3,0,1,1
INTJ,NT,intj energy ,3LT3lEbyb5RpoqgXI32Gsy,50,0.58888,0.154370564,0.67522,0.137428614,-6.03152,1.747091755,0.5,0.505076272,0.078312,0.084155768,0.18966694,0.220332738,0.19287,0.140889514,0.512458,0.218151694,119.71146,31.79603025,0.082770259,0.216206655,3,6,1,3,0,3,0,3,4,2,1,2,1,0,5,2,2,2,2,2,2,2,1,1
INTJ,NT,intj hottie,0XNNOaWrkZBG7nHXn3Edk4,22,0.624818182,0.14821562,0.612818182,0.147089748,-7.821772727,3.203675879,0.363636364,0.492365964,0.096059091,0.070002494,0.169160636,0.172432051,0.162113636,0.107093241,0.342272727,0.196422815,112.2008636,26.08663242,0.097859686,0.258857243,0,1,1,1,0,1,0,0,0,2,3,0,2,0,3,0,1,1,0,2,2,1,0,1
INTJ,NT,"INTJ, the architect",6R86BllKzcMIpowdUsGyR1,50,0.60442,0.130128208,0.68266,0.174544961,-6.21288,1.916502519,0.42,0.498569382,0.068254,0.053000347,0.17983313,0.209783995,0.168582,0.139234701,0.476516,0.216063498,122.33406,28.74601066,0.028555619,0.085375731,3,3,3,0,1,6,1,4,2,3,2,3,2,1,2,0,3,2,1,3,1,2,0,2
INTJ,NT,INTJ LIFTER ,6j9qYgVmW11k4zTG4bmRxM,50,0.40442,0.149852865,0.93558,0.100320932,-4.3908,1.720657646,0.62,0.490314351,0.116976,0.074200626,0.00436991,0.021722151,0.210508,0.177541366,0.252324,0.157702806,130.81136,31.41141202,0.151982111,0.292731036,2,3,1,5,0,1,2,1,0,2,2,5,1,3,2,1,1,2,4,3,0,5,1,3
