mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,CMajor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,EMajor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/AbMajor_count,Aminor_count,AMajor_count,BMajor_count,Cminor_count,C#/Dbminor_count,C#/DbMajor_count,Eminor_count,Fminor_count,Gminor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,Dminor_count,G#/Abminor_count
ISFJ,SJ,ISFJ♡⁠๑,2RkYQcZwmogHxOApWV3m1e,20,0.60915,0.121928053,0.69075,0.192137526,-5.05545,2.838906989,0.65,0.489360485,0.070945,0.051495411,0.340581,0.262459488,0.21558,0.131523885,0.53355,0.247206599,135.11465,34.0478079,6.04E-05,0.000225208,1,2,1,1,0,2,3,2,1,2,0,1,0,0,0,1,0,1,1,0,0,0,1,0
ISFJ,SJ,poudreitte,3yM2bfDSfK6ebXMWlGMzqC,50,0.58148,0.13570184,0.59554,0.202200064,-6.79736,2.949469636,0.82,0.388087934,0.05019,0.030839898,0.4519954,0.280526412,0.190918,0.150384469,0.61226,0.21580753,117.47472,21.2724432,0.006965511,0.04778148,2,3,0,7,6,7,0,1,6,0,0,3,2,1,3,0,1,2,1,0,4,0,1,0
ISFJ,SJ,🤍ISFJ🍂,4twqzmre7OociGIGoznIiT,20,0.50765,0.117187782,0.58925,0.173014716,-6.6554,2.061231502,0.55,0.510417786,0.05306,0.032339033,0.3060051,0.302604252,0.197635,0.13435519,0.3236,0.16413422,142.8715,30.02678093,0.00032741,0.000630752,2,1,0,2,1,1,2,0,0,2,1,2,0,0,3,0,1,1,0,0,0,1,0,0
ISFJ,SJ,songs written by an infp/isfj ♡,4seD1CRZqkacSVoz0bvPUu,17,0.515,0.151737438,0.495823529,0.222802389,-9.847882353,4.731460119,0.705882353,0.469668218,0.051847059,0.039521784,0.338824412,0.370428625,0.131405882,0.09379268,0.362682353,0.202524712,131.9972353,38.25844671,0.177510588,0.278788371,3,1,1,0,0,1,1,1,0,1,0,2,2,0,0,1,0,2,0,0,0,0,0,1
ISFJ,SJ,ISFJ,04I3LkdYvKfwdaQl9L2bec,22,0.608772727,0.147296892,0.5715,0.19372188,-7.767318182,2.860879675,0.727272727,0.455842306,0.047068182,0.023361148,0.44472807,0.271012185,0.193545455,0.156200618,0.483636364,0.187407258,125.0591364,32.3490022,0.046141869,0.123843791,4,0,0,0,1,1,1,2,1,1,0,2,2,0,0,1,1,1,0,1,1,0,0,2
ISFJ,SJ,one song for each mbti | classical,0NObHzrSiLXhHQY7E07VdF,16,0.27625,0.112767903,0.1572125,0.106003685,-19.74275,7.144516485,0.375,0.5,0.04355,0.024295185,0.8785625,0.140016651,0.1308625,0.08526187,0.2090375,0.211633381,106.9456875,46.95799179,0.681806709,0.388055713,2,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,2,1,2,0,1,1,1,0
ISFJ,SJ,isfj // the protector,31JhfvIQsjRlqjotYgHVj7,19,0.555631579,0.148424395,0.375294737,0.226040622,-10.89647368,6.449389544,0.842105263,0.374634325,0.056052632,0.037707402,0.585429474,0.368422022,0.216868421,0.186264958,0.282752632,0.172688204,116.5270526,29.66481101,0.021575632,0.064803041,3,1,0,1,1,0,1,1,1,0,0,2,1,0,0,2,0,0,0,0,3,1,0,1
ISFJ,SJ,kpop but make it isfj,3N1g3XHKOTsKsVlWdbeVdg,34,0.655411765,0.094278156,0.703470588,0.138108046,-4.819,1.825121067,0.617647059,0.493270218,0.064552941,0.054362477,0.211005882,0.188912781,0.160464706,0.101655159,0.543361765,0.196345324,119.3297941,27.99806001,3.71E-05,0.000168098,2,3,1,1,1,0,3,4,3,0,0,4,1,0,1,2,2,0,2,2,0,1,1,0
ISFJ,SJ,İSFJ~innocent queeen~,2SuaFO0gUqYRWEDbFV0dh1,50,0.69698,0.116829632,0.64854,0.180721932,-6.0955,2.240171069,0.42,0.498569382,0.089282,0.080118452,0.1895244,0.233420399,0.168452,0.12293642,0.483606,0.210219901,110.5749,21.77044158,0.001810783,0.005530741,3,2,0,0,3,2,1,1,3,2,1,1,1,1,6,3,1,4,4,2,0,5,2,2
ISFJ,SJ,★,3Xvg1sSGJ04feNVF5GCdVM,24,0.59325,0.156885239,0.569208333,0.140025768,-6.5825,1.893489716,0.708333333,0.464305621,0.065529167,0.034970503,0.2931375,0.244835263,0.1554375,0.122452201,0.456520833,0.293331246,130.5724583,36.36357175,0.000877771,0.003271045,0,4,0,1,1,4,0,0,1,1,0,1,0,1,2,1,0,0,0,1,3,3,0,0
ISFJ,SJ,me in songs,1JeCNe74iQvaeM9RzeDqKY,39,0.52074359,0.147842683,0.453864103,0.242015552,-9.74674359,4.66154234,0.794871795,0.409073869,0.050882051,0.04295595,0.517738118,0.377228509,0.152338462,0.109856053,0.426410256,0.263511881,115.2161026,30.97873153,0.037972793,0.097778569,4,4,0,0,0,3,1,1,2,0,0,9,1,3,0,4,1,1,0,1,3,0,1,0
ISFJ,SJ,oc: iris norton,2IgMmmrf0Dhdv123iFxXOw,20,0.51505,0.137798661,0.440535,0.245354005,-11.4968,5.794554182,0.8,0.410391341,0.051235,0.028950071,0.4802897,0.338326062,0.144035,0.090432145,0.4032,0.229706815,127.27265,35.21328023,0.081950847,0.189467486,2,0,0,1,0,3,1,2,2,0,0,3,0,0,0,3,1,0,2,0,0,0,0,0
ISFJ,SJ,isfj 6w5 692 sp/sx eii rluan elvf melancholic-sanguine scorpio stellium,1yjWGPXlAUuLCWLtE2HJho,50,0.54606,0.138217576,0.5215,0.180171828,-8.40632,2.254171656,0.78,0.418451958,0.05634,0.055862002,0.41827946,0.303392456,0.150714,0.128604751,0.38386,0.189548552,123.52456,29.36751442,0.027517327,0.091231741,11,4,0,1,1,2,1,3,3,0,0,5,3,2,3,4,1,0,3,1,2,0,0,0
ISFJ,SJ,therapy session >3,526mKmtnCKl8rqx53OH8Dt,50,0.6151,0.155568903,0.63962,0.171082733,-6.34082,2.439702488,0.7,0.46291005,0.070228,0.053319901,0.254918208,0.274529465,0.173174,0.098222598,0.504678,0.250513221,126.33942,32.23445689,0.052818706,0.178712499,4,4,1,3,1,3,1,3,3,4,2,3,2,0,3,2,1,3,1,1,3,1,0,1
ISFJ,SJ,Vic out of context,6ppn1ljGorz1yWTkmelo2M,50,0.59656,0.117572237,0.645642,0.199493798,-6.2666,2.15394751,0.7,0.46291005,0.057952,0.054735577,0.2152626,0.263393253,0.178426,0.133958746,0.457964,0.214424133,118.90516,25.79927873,0.002953394,0.009424678,8,4,0,1,0,2,4,3,5,4,2,3,2,1,0,3,2,1,2,1,0,1,1,0
ISFJ,SJ,beverly belmont,4oUR2Iy1AVdALnvE4jVulx,20,0.5447,0.158635995,0.5751,0.252919563,-8.60195,3.537878586,0.65,0.489360485,0.06694,0.046422821,0.462390026,0.365844882,0.16754,0.125590091,0.51665,0.240961948,126.26825,31.08371859,0.045783052,0.146235136,6,0,0,0,0,0,3,0,2,0,1,3,0,0,0,0,1,1,1,0,2,0,0,0
ISFJ,SJ,in no particular order,7Jp7fcOgRBybAKaiSTvUU4,50,0.62356,0.141727845,0.63538,0.181511105,-6.36836,2.74925177,0.48,0.50467205,0.09197,0.09243431,0.26168628,0.262768214,0.155342,0.086151886,0.477922,0.237454335,117.56098,27.42217222,0.06155346,0.200549441,9,1,0,1,1,1,3,0,3,2,3,0,2,4,1,4,4,2,1,3,0,3,1,1
ISFJ,SJ,cc!awesamdude vibes,3pTmpli1Y6cgSlBDwmJZfr,37,0.623,0.121483652,0.620837838,0.15548446,-7.165513514,2.235312738,0.783783784,0.417341795,0.063956757,0.075125146,0.284843784,0.29646028,0.182324324,0.112945342,0.574135135,0.206758066,119.1269459,26.70174555,0.053704999,0.201199413,3,3,0,1,1,0,3,4,2,3,0,6,0,0,1,3,1,0,0,0,3,1,1,1
ISFJ,SJ,.:+*Sentimental*+:.,1fLe1ElXoO77nMvz06Kk8X,50,0.516,0.153586112,0.455932,0.199903351,-9.17192,3.63977419,0.86,0.350509833,0.05628,0.063566058,0.408232,0.355312925,0.16767,0.125090417,0.281284,0.201838557,118.13926,32.69149878,0.083498864,0.188841096,6,5,0,2,3,6,0,4,3,1,0,7,1,0,0,5,2,2,1,0,0,0,2,0
ISFJ,SJ,"Tyven i Månen; Hufsa av isfjellet, Har Drept ar ved Guder. All the arWorlds Deaded, before this Orb ",65JRCIt8VY5MDWqxckAbCs,50,0.4734,0.171446071,0.7022,0.191129083,-8.0963,2.977079717,0.68,0.471212071,0.05542,0.037903411,0.169959462,0.277938309,0.145018,0.083069127,0.49086,0.243356378,120.52724,30.23750426,0.070595024,0.144983376,2,4,1,0,2,2,1,7,4,2,3,3,4,1,2,1,1,0,1,0,3,5,0,1
ISFJ,SJ,Mbti edge,4DjK4n3nbkuaibAt7ctnzH,16,0.5853125,0.181908299,0.694375,0.173636354,-5.3070625,1.531873514,0.5625,0.512347538,0.09024375,0.086053557,0.153911594,0.244173276,0.1578,0.106531704,0.5220625,0.243777622,122.609875,33.19806081,0.000996073,0.002927239,1,0,0,2,1,1,0,0,1,0,1,1,0,0,0,2,1,1,0,2,0,1,1,0
ISFJ,SJ,1127,3G7vhuXeYUOX6lCQL11Z0r,50,0.49336,0.161236265,0.55876,0.263367948,-9.31626,3.779126132,0.76,0.431419111,0.05378,0.052899867,0.357830845,0.333033695,0.20152,0.154431302,0.38068,0.259049483,123.9215,31.15190568,0.340488761,0.398176836,9,7,1,0,1,2,3,1,8,0,0,5,2,1,3,3,1,2,0,0,0,0,0,1
ISFJ,SJ,Sabrina Varsha,6mWrHtY0PccUkVvJqYPjcl,20,0.64155,0.137138223,0.60645,0.118546671,-6.0789,1.273533497,0.3,0.470162346,0.06365,0.038909321,0.2454385,0.219105064,0.15751,0.121162961,0.425255,0.233613368,121.44005,30.40498776,0.000103937,0.000317628,2,1,1,0,0,0,0,0,0,1,3,1,0,3,1,1,2,2,0,0,0,2,0,0
ISFJ,SJ,Calamity.,5glDukmTxxhUtwPhuXrefT,50,0.54654,0.134760288,0.709466,0.230010409,-7.0445,3.67758822,0.42,0.498569382,0.074496,0.065375652,0.149538058,0.269314846,0.189088,0.142860501,0.541262,0.231298807,130.60848,28.48860771,0.18961658,0.27914517,0,2,0,2,2,5,5,1,5,1,1,1,0,1,0,1,3,9,1,3,1,5,1,0
ISFJ,SJ,— fleur laurent.,4LrowC4z7oLI2EyIUV9MFw,17,0.557176471,0.132373636,0.571117647,0.144330732,-6.829647059,2.813728131,0.823529412,0.392952624,0.045711765,0.022302239,0.382082353,0.33406798,0.172276471,0.127380005,0.336117647,0.154117197,119.4632941,28.25122628,0.038018785,0.105085322,1,0,1,0,3,1,1,1,0,3,1,0,1,0,0,3,0,0,0,0,1,0,0,0
ISFJ,SJ,Rose ♋︎,6IJPGUkHyxJxCzly1lJJFT,50,0.73532,0.113016603,0.74318,0.118632289,-5.86164,1.969152193,0.62,0.490314351,0.120246,0.106387599,0.088392832,0.117533914,0.216864,0.172488174,0.64046,0.202559158,129.17364,18.08927553,0.050821505,0.162825163,8,3,0,1,0,1,1,2,3,3,5,2,4,2,2,4,3,1,1,1,0,2,0,1
ISFJ,SJ,﹫ 　( oc ) theodorastrain,5shD8OBYwdJ4jr3IQkm3N4,10,0.5316,0.114536942,0.52167,0.293194475,-10.5069,6.270071973,0.8,0.421637021,0.05488,0.028439323,0.439951,0.395866476,0.1788,0.111991319,0.39614,0.201824281,136.3441,36.5935131,0.154228135,0.290441984,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
