mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,AMajor_count,A#/Bbminor_count,Bminor_count,BMajor_count,D#_EbMajor_count,Aminor_count,A#/BbMajor_count
ISTP,SP,ISTP songs ://,0nESJh03HtCUwKB0Km5pHR,50,0.64622,0.165729838,0.66584,0.177221337,-6.38334,2.320650398,0.5,0.505076272,0.106846,0.092113478,0.1673433,0.198336902,0.192318,0.131158474,0.48668,0.194869652,121.80674,28.44900392,0.052391766,0.142019873,2,4,1,2,1,3,1,7,1,3,2,2,2,1,4,1,3,2,1,5,2,0,0,0
ISTP,SP,Otetaan iisisti,37i9dQZF1DXbcCTrbdHmWr,50,0.50848,0.136100239,0.485706,0.192561921,-10.66496,3.854883142,0.74,0.443087498,0.041052,0.028501409,0.39939018,0.290760114,0.131852,0.083245612,0.46448,0.240454182,126.55178,34.98320195,0.013242166,0.046107929,0,8,3,1,0,5,1,2,6,0,5,1,1,0,3,0,3,2,1,2,1,1,3,1
ISTP,SP,Istp 😝,4v4cbe6zNsZ9rrOSN2cJZu,50,0.61174,0.184034581,0.61298,0.193440756,-7.59908,3.095498132,0.66,0.478518121,0.076894,0.071480891,0.20714856,0.266750939,0.188574,0.161270512,0.466408,0.226442182,118.79872,28.36156892,0.0342186,0.127489579,1,2,3,2,0,4,0,4,4,1,2,4,3,0,4,0,4,2,0,2,3,1,2,2
ISTP,SP,ISTP being ISTP,6WKW9CZcBLbSy1DaxH49LE,49,0.641265306,0.150324618,0.663857143,0.168436561,-6.141040816,2.371239848,0.489795918,0.505076272,0.097685714,0.091786825,0.163353394,0.184245743,0.189997959,0.13495459,0.503153061,0.203717992,118.1732857,24.20032936,0.06523397,0.173086639,0,4,1,2,0,3,3,5,1,4,3,0,1,1,4,4,1,1,1,4,2,1,2,1
ISTP,SP,This Is Istasha,37i9dQZF1DZ06evO3jBFYJ,50,0.72096,0.098471991,0.75674,0.151764158,-7.07772,3.138471655,0.76,0.431419111,0.238272,0.138702849,0.07171926,0.088213306,0.236836,0.191434512,0.33117,0.139551015,121.10032,30.75432904,0.111765027,0.215809362,0,2,3,19,0,5,0,0,0,1,0,1,1,0,1,1,3,3,3,3,1,1,0,2
ISTP,SP,ISTP,2Qofd1Tg7JCAaxXWsIOGCv,50,0.58878,0.128268578,0.63574,0.183410748,-7.41494,3.282650145,0.66,0.478518121,0.091866,0.110407112,0.2603194,0.266560278,0.210718,0.149817525,0.443198,0.215212977,123.91186,35.1238306,0.117162453,0.258775037,3,0,0,5,1,3,1,1,4,3,2,1,3,3,5,1,1,5,1,1,3,1,1,1
ISTP,SP,istp type beat,1034EBRO7ncqnlvamIJyND,50,0.5864,0.156369265,0.76026,0.146384566,-5.98964,2.084796782,0.6,0.494871659,0.114378,0.100563409,0.110084162,0.182929027,0.189716,0.157160284,0.62038,0.20925123,130.24194,35.68941048,0.128296394,0.269984949,1,4,1,4,0,4,1,1,3,4,1,3,3,0,5,1,0,3,2,3,1,0,3,2
ISTP,SP,This Is Isto Hiltunen,37i9dQZF1DZ06evO3nRkPL,50,0.60916,0.11391679,0.69046,0.164163707,-7.32118,2.305153292,0.28,0.453557368,0.038064,0.028029371,0.1957886,0.189312773,0.210016,0.142589903,0.64094,0.21933363,124.4442,32.37797755,0.001584539,0.010698679,4,5,2,1,5,3,0,8,1,2,0,3,0,3,0,0,1,1,0,2,0,1,7,1
ISTP,SP,ISTP (PDB),7ySyFrnXbrOyZU1SVTCgo5,50,0.63576,0.16696652,0.6116,0.207783345,-6.82478,3.235777548,0.5,0.505076272,0.077782,0.073162039,0.2268361,0.264038505,0.187264,0.133817499,0.465126,0.227593995,122.80296,32.90578083,0.025925118,0.083222627,2,4,2,1,0,3,2,5,2,3,2,2,1,1,4,2,0,1,1,5,4,1,0,2
ISTP,SP,This Is IST IST,37i9dQZF1DZ06evO3wl9ok,29,0.44972069,0.123456115,0.657755172,0.24768216,-8.765172414,5.309713276,0.586206897,0.501230014,0.039444828,0.013284835,0.214909737,0.285287909,0.166103448,0.130573388,0.289044828,0.186468263,125.0525862,26.63300983,0.450217241,0.321762758,1,3,0,1,1,3,0,2,3,0,2,1,0,0,3,1,0,0,0,2,0,1,4,1
ISTP,SP,This Is ist,37i9dQZF1DZ06evO2rm2N8,45,0.461755556,0.167068869,0.553128889,0.2690553,-11.93153333,7.563826018,0.688888889,0.468179366,0.069028889,0.08399363,0.337762713,0.303498626,0.194153333,0.181546054,0.431368889,0.294813107,119.5022,30.93220855,0.234761349,0.369774931,0,10,1,1,2,2,0,3,2,2,2,2,2,0,6,0,0,3,0,2,1,0,2,2
ISTP,SP,ISTP,00PTz9JKL9JiTA7N3vyZUv,50,0.62174,0.139410978,0.68274,0.165018219,-6.7835,3.216986473,0.72,0.453557368,0.058356,0.05467734,0.08801461,0.132468237,0.189286,0.154967423,0.559498,0.236439033,124.13254,25.92466761,0.088172121,0.220429533,1,6,0,5,0,4,1,3,4,3,2,1,2,0,6,1,2,3,0,0,0,1,4,1
ISTP,SP,pov: you’re an ISTP,0uU0Sn7IehlZujmz10cnlV,50,0.66526,0.168493785,0.68814,0.170537686,-6.10064,2.305632188,0.46,0.503457434,0.131586,0.130692459,0.12121826,0.166122849,0.178108,0.141090531,0.55898,0.197691214,127.2217,28.54514752,0.036619978,0.109047831,0,3,3,0,1,3,2,5,1,3,2,2,2,1,5,1,2,3,3,6,2,0,0,0
ISTP,SP,This Is O.S.T.,37i9dQZF1DZ06evO42tw7s,15,0.348773333,0.236505208,0.546246667,0.298298405,-11.95653333,4.557655269,0.666666667,0.487950036,0.13116,0.132947233,0.330373333,0.381841038,0.173773333,0.138710024,0.176086667,0.214095322,107.7046,34.02318078,0.54859702,0.394035902,0,1,0,2,0,0,0,0,2,2,1,0,0,1,0,0,3,0,1,1,1,0,0,0
ISTP,SP,istp // the prodigy ,3RqQRynMWJoP9JkEc7YrOE,35,0.574314286,0.146954329,0.7068,0.190996889,-7.079228571,4.053735293,0.657142857,0.481593992,0.095388571,0.114395246,0.221679157,0.304266834,0.181908571,0.115810112,0.546882857,0.255890414,125.4938,29.38115087,0.074864598,0.207522714,1,3,3,4,0,1,0,2,2,2,2,1,2,1,1,0,2,4,1,1,0,1,0,1
ISTP,SP,Istp shit,7pluVumiNDoZEpiEcaiONp,50,0.59308,0.162056533,0.390272,0.193328881,-10.65934,4.334486155,0.46,0.503457434,0.109666,0.111207959,0.5450166,0.339144621,0.161446,0.126079701,0.259356,0.172737004,119.19374,31.32495802,0.07060545,0.185273186,0,4,1,2,2,1,1,7,3,1,0,2,1,2,6,2,2,1,2,3,0,1,4,2
ISTP,SP,ISTP Playlist,6bgk5LxUBTRTBAh08L2jqN,47,0.604468085,0.174440703,0.686851064,0.180788969,-6.45006383,2.192265112,0.468085106,0.504374939,0.086419149,0.077796274,0.107180703,0.156554371,0.198014894,0.150624813,0.498042553,0.200452744,124.2818085,28.62650132,0.061174009,0.164726684,0,1,2,1,0,3,1,4,1,6,1,0,1,2,3,1,1,4,3,4,4,2,2,0
ISTP,SP,estp/istp side character cooler than the main character,2XsGxxSkPKNPH4xxsahOVp,50,0.64708,0.140325691,0.668442,0.181325575,-7.29434,3.124781427,0.6,0.494871659,0.110178,0.092249062,0.105578646,0.144843008,0.229868,0.185512529,0.42847,0.262935042,128.92116,27.79611053,0.131681936,0.262058157,2,0,1,7,0,2,0,2,0,1,2,2,1,3,3,2,4,1,1,4,7,0,2,3
ISTP,SP,😹ISTP🚼,3s2wIjYfyJ7gdsq7OhtEcW,50,0.6074,0.148719157,0.653724,0.191626711,-7.06466,3.198890022,0.64,0.484873221,0.072296,0.081452067,0.18297796,0.25826922,0.21288,0.16611971,0.56384,0.18982305,120.45802,27.18085457,0.136326526,0.280534644,0,4,1,2,3,0,1,2,5,3,3,1,4,2,4,0,4,3,0,2,2,0,3,1
ISTP,SP,Japanese Trap & Bass,2b6Lacg3z5TYDTM1WJvGsC,50,0.69774,0.092199166,0.74258,0.18216914,-7.0845,2.605163814,0.72,0.453557368,0.056086,0.026400673,0.12756446,0.169613877,0.157184,0.094698756,0.3982,0.206121055,138.62592,29.69752673,0.7911,0.188561715,1,7,0,8,1,8,1,2,0,3,2,1,0,3,6,0,2,1,2,0,2,0,0,0
ISTP,SP,ISTPI7G,4xzROb2eoBfHt6LhhByxqn,50,0.59352,0.165672315,0.74644,0.152222603,-6.94004,2.345370951,0.66,0.478518121,0.074966,0.065554774,0.141397054,0.19144942,0.16406,0.136804777,0.65966,0.215882206,128.213,24.27925565,0.035100537,0.090332525,1,7,0,1,0,4,1,3,2,2,4,3,2,1,4,0,3,3,1,3,1,1,2,1
ISTP,SP,istp,66oJo5Da5Q2nkmu2ZxBRz5,50,0.65292,0.146310243,0.70196,0.176064223,-6.49618,2.623048559,0.62,0.490314351,0.102344,0.085397123,0.197314828,0.252928601,0.209462,0.16059512,0.551502,0.216304597,122.08276,32.40422966,0.162606646,0.294096564,1,3,2,3,0,5,0,3,3,2,1,2,3,1,3,0,3,3,3,3,0,2,2,2
ISTP,SP,istp,7erincnWGhlucn3x6jkOII,50,0.61622,0.140898906,0.66098,0.165887777,-6.16038,2.378691193,0.44,0.501426536,0.079096,0.092666146,0.146806552,0.204810271,0.199956,0.162610878,0.458802,0.231084243,123.42424,29.83613615,0.041913667,0.121975843,2,3,1,4,1,2,1,5,1,2,1,3,3,1,2,3,1,2,2,2,2,0,5,1
ISTP,SP,ISTP,4cVzA6u4eCPJWNg15KBuSr,50,0.61992,0.148537612,0.53902,0.178460707,-7.22352,2.461958,0.68,0.471212071,0.069806,0.068342109,0.559626,0.271534753,0.161776,0.09739628,0.437588,0.241063984,117.01632,29.77901389,0.027807103,0.106457705,2,5,1,3,0,2,3,1,1,0,2,1,2,1,4,0,0,5,3,1,2,1,3,7
ISTP,SP,istp,7kmPjWnCZYAWk1smFtpjEs,50,0.58644,0.153571118,0.587888,0.201221329,-7.6276,3.42955377,0.74,0.443087498,0.06986,0.082938463,0.22285,0.279146668,0.161496,0.136655252,0.45332,0.248363989,117.7898,25.41970306,0.131355026,0.251482554,1,5,0,4,2,4,0,4,4,1,5,0,2,2,6,1,0,0,0,1,2,3,1,2
ISTP,SP,istp outsold,2RSNEu0yisgFubAtH9xPKe,46,0.492304348,0.162185473,0.851565217,0.173800991,-5.679782609,2.795558453,0.5,0.50552503,0.092152174,0.05865543,0.06295973,0.139583007,0.271586957,0.140024799,0.404552174,0.253622703,135.854413,30.8777831,0.382578094,0.428389634,0,2,2,8,4,3,1,0,2,1,1,3,0,2,2,3,0,2,2,2,2,0,3,1
