mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,Bminor_count,BMajor_count,Cminor_count,F#/GbMajor_count,Gminor_count,A#/Bbminor_count,A#/BbMajor_count,D#_Ebminor_count
ESTP,SP,ESTP PLAYLIST,65r8dT97EcHxBl2pW0jhzx,50,0.66492,0.128722426,0.7002,0.150745494,-5.62212,2.190405802,0.6,0.494871659,0.114472,0.092735025,0.124687958,0.178619463,0.21152,0.164346953,0.51926,0.212644554,127.7013,26.07037296,0.03929534,0.134196556,4,3,6,1,2,1,5,3,2,1,1,3,1,3,2,2,5,5,0,0,0,0,0,0
ESTP,SP,This Is EST Gee,37i9dQZF1DZ06evO2JD1f2,50,0.7399,0.114122964,0.61672,0.107870489,-6.93196,1.471383619,0.58,0.498569382,0.254786,0.109876393,0.06732542,0.076537637,0.197816,0.106852283,0.451016,0.20658205,124.97822,34.68032391,9.15E-07,4.24E-06,2,3,9,0,8,0,3,0,4,0,3,1,3,4,1,2,4,3,0,0,0,0,0,0
ESTP,SP,estp/istp side character cooler than the main character,2XsGxxSkPKNPH4xxsahOVp,50,0.64708,0.140325691,0.668442,0.181325575,-7.29434,3.124781427,0.6,0.494871659,0.110178,0.092249062,0.105578646,0.144843008,0.229868,0.185512529,0.42847,0.262935042,128.92116,27.79611053,0.131681936,0.262058157,0,1,7,0,2,0,2,0,1,2,2,3,2,4,2,1,4,7,2,1,3,1,3,0
ESTP,SP,ESTP ENERGY,71gVoSLHPKIlPOyGbsjMwC,50,0.6495,0.148279968,0.78298,0.13259213,-4.89676,1.58775099,0.52,0.50467205,0.080402,0.064244188,0.06119142,0.101291581,0.219122,0.145340233,0.62316,0.196688229,126.95542,30.14632635,0.010102082,0.04817146,2,1,4,0,5,0,4,1,3,3,2,2,0,3,4,1,6,2,1,0,2,1,3,0
ESTP,SP,ESTP 8w7,2IIkwG5uOYgCNhq5ZiO2sb,50,0.68112,0.166581553,0.7228,0.166195484,-6.1026,2.669487568,0.52,0.50467205,0.157686,0.132951655,0.112357808,0.152667972,0.22067,0.177914802,0.591452,0.241182142,128.89162,31.23273656,0.109541507,0.267019048,2,2,5,1,2,2,3,1,1,1,2,5,1,3,4,2,3,1,2,2,3,2,0,0
ESTP,SP,This Is Esteman,37i9dQZF1DZ06evO2kr0HV,42,0.701404762,0.096284401,0.649595238,0.138470928,-7.033357143,1.81138004,0.380952381,0.491507435,0.052888095,0.035200694,0.308775,0.258414942,0.14377619,0.086167814,0.68052381,0.200054778,120.7385714,30.64653439,0.000614558,0.00230448,3,5,1,1,1,1,3,0,1,1,3,3,0,1,1,2,2,0,0,0,5,3,3,2
ESTP,SP,Estp 😋,5nkqr7vgFYYGnDRQlsDv0k,50,0.67548,0.139852727,0.68714,0.188849039,-6.40128,2.792333769,0.52,0.50467205,0.112244,0.10791943,0.139579788,0.194808939,0.221044,0.159139349,0.576966,0.205672626,121.83096,30.42031108,0.007902144,0.029485635,3,2,5,0,4,1,4,3,2,1,5,3,1,5,2,0,1,0,2,1,2,2,0,1
ESTP,SP,estpañol,0miAIh29Aix3QU82J0QS7e,50,0.59112,0.134315444,0.67336,0.149073843,-5.75902,1.65497329,0.84,0.37032804,0.041858,0.023557988,0.340068,0.224812099,0.208602,0.209005807,0.520956,0.246682178,118.63858,28.96574926,5.93E-05,0.000277135,6,0,6,1,2,5,1,1,0,4,2,6,0,1,0,5,0,3,2,1,1,1,2,0
ESTP,SP,estp with superiority issues ,41x9pjpmeiMz6vvTRjevoY,50,0.75554,0.130362636,0.66298,0.149738887,-6.25396,2.51037979,0.52,0.50467205,0.170886,0.13608503,0.145978,0.168794819,0.187966,0.157915955,0.543062,0.210323037,127.43508,24.12798451,0.008395232,0.03598436,2,4,4,0,5,0,2,2,2,0,1,4,2,4,0,2,7,2,1,1,3,2,0,0
ESTP,SP,This Is Estelle,37i9dQZF1DZ06evO3t9Iha,50,0.6217,0.143091986,0.63212,0.190894526,-6.9625,2.769097836,0.5,0.505076272,0.139026,0.1242086,0.2195824,0.23330867,0.224644,0.185765068,0.475098,0.20991233,113.30108,27.80320042,0.026747934,0.093028778,6,0,1,2,1,1,3,2,2,2,3,3,0,4,3,1,4,1,2,1,1,5,2,0
