mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,Fminor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,EMajor_count,FMajor_count
ESTJ,SJ,waahc’estjujujul,0r3WACN3O4TcGGJiabijYx,50,0.79392,0.091660162,0.68548,0.166105602,-6.36986,1.61429914,0.16,0.37032804,0.181562,0.130874582,0.3663036,0.213851922,0.126408,0.091433417,0.58136,0.22990839,131.42824,24.1557241,0.005591941,0.035294631,2,2,2,2,4,1,2,0,3,6,3,0,1,1,4,0,4,0,8,1,3,0,0,1
ESTJ,SJ,ESTJ,6gWwEehfDK7vODcrDLiwcq,36,0.699305556,0.133892882,0.71675,0.156884193,-6.092888889,2.565857782,0.472222222,0.506309398,0.085969444,0.071519655,0.121742622,0.161910622,0.225747222,0.215648108,0.551083333,0.247288077,116.7793333,20.60459416,0.04191123,0.137540784,3,4,3,3,0,4,0,1,3,0,0,1,1,1,1,1,1,1,2,0,5,1,0,0
ESTJ,SJ,ESTJ📚📏👩‍🏫🎒,7dQARs5qRkdhyxTBRwAlIq,50,0.72742,0.134389943,0.62456,0.160102156,-6.48012,2.620250476,0.48,0.50467205,0.181706,0.111560415,0.248897,0.20366951,0.185058,0.147033875,0.534742,0.243201197,105.88076,25.38721602,0.002039373,0.012024023,2,2,2,4,1,3,1,0,2,3,5,1,0,2,0,2,3,5,5,1,2,2,0,2
ESTJ,SJ,estj,1h3hGmDJsPmps0iLGazSNG,33,0.716363636,0.105207776,0.727454545,0.113219116,-5.57169697,1.799904364,0.545454545,0.505649897,0.099387879,0.084108883,0.076763788,0.092243229,0.189045455,0.14377352,0.560484848,0.162252912,118.7048182,23.22392439,0.00020096,0.000781304,1,2,2,3,1,1,1,0,3,1,0,1,1,2,0,2,1,0,2,2,2,0,0,5
ESTJ,SJ,estjim,0rWa73u0lXVfn3KfkcDDY6,33,0.548666667,0.150025137,0.786424242,0.20959351,-7.109393939,3.136297249,0.818181818,0.391674726,0.098915152,0.092702023,0.086819812,0.220055767,0.200784848,0.12958211,0.301060606,0.193071934,124.968,25.97895444,0.470490424,0.366835668,1,6,1,5,0,5,0,0,1,1,0,1,0,1,0,3,0,3,2,0,0,2,1,0
ESTJ,SJ,ESTJ Anthem✨,11eXSFRXsREBI1QnW5Ud4l,22,0.656909091,0.132661728,0.752681818,0.131876705,-5.5175,1.675590948,0.454545455,0.509647191,0.073286364,0.053919608,0.156334068,0.225547365,0.20225,0.154748388,0.606545455,0.239927117,127.5244091,30.20395459,0.000598744,0.002703182,0,2,3,1,1,1,0,0,0,2,3,0,1,2,1,0,0,1,1,1,0,2,0,0
ESTJ,SJ,ESTJ (PDB),45HBou8llEQJFBDF6OZHps,50,0.65538,0.145110639,0.67984,0.203663825,-6.52548,3.714747934,0.5,0.505076272,0.074088,0.051292704,0.1879335,0.242836244,0.22346,0.205249017,0.528552,0.221841916,124.32474,24.67222487,0.036170276,0.147159375,1,3,2,2,5,5,1,1,1,2,2,0,2,5,2,2,5,2,2,0,0,3,1,1
ESTJ,SJ,ESTJ,3g5BuutZmR3IvlLTlprtTj,49,0.669183673,0.117314334,0.696102041,0.144200995,-5.484653061,1.836506245,0.510204082,0.505076272,0.070704082,0.040448053,0.183549643,0.235773529,0.144081633,0.072870321,0.537387755,0.24319555,118.184,27.94298859,0.001667361,0.006463143,1,1,2,3,1,0,1,2,0,5,2,1,2,4,0,6,3,4,3,2,4,1,1,0
ESTJ,SJ,☾︎ estjf☽︎,56nOZ7Bn7xFfQYpBwKTp30,18,0.661666667,0.072729151,0.665777778,0.079679915,-6.301833333,1.197940794,0.777777778,0.427792632,0.0759,0.043168725,0.113938333,0.1798339,0.148916667,0.118242772,0.523938889,0.215122447,134.2374444,31.36936986,0.000364353,0.001317185,0,2,0,0,0,1,0,0,0,0,0,2,0,3,0,3,3,1,0,0,1,0,1,1
ESTJ,SJ,ESTJ Playlist,73LpvL6xcXLE038WcInf2v,45,0.634577778,0.113734437,0.590606667,0.179741691,-6.799822222,3.360818828,0.533333333,0.504524979,0.090377778,0.093876819,0.246070444,0.275048738,0.168533333,0.13568947,0.464842222,0.214858015,121.8711556,24.0707243,0.023117524,0.101846259,4,5,0,0,1,6,1,1,1,2,3,1,2,2,1,3,2,1,2,1,2,0,3,1
