mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,BMajor_count,Fminor_count,F#/GbMajor_count,A#/Bbminor_count,Bminor_count
ENFJ,NF,enfj heartbreak,1i9BKhtbkyjf2YZsHJtWBU,50,0.4628,0.131029674,0.322068,0.169696809,-10.89026,3.903598454,0.84,0.37032804,0.055952,0.060049932,0.71458,0.260005124,0.170774,0.130177787,0.24632,0.136073848,119.17738,34.88490786,0.043545997,0.142776427,0,10,2,6,1,2,0,4,1,4,2,1,0,3,0,2,2,1,3,4,0,1,1,0
ENFJ,NF,enfj-t,5WeyHyQYlNbQueZgYXbKaE,50,0.66534,0.116189432,0.67384,0.146398026,-5.86348,2.309456277,0.72,0.453557368,0.096788,0.09936569,0.1727438,0.209687135,0.163832,0.096607682,0.58458,0.226714069,127.73476,29.31381386,0.013238673,0.076350382,1,5,2,4,0,4,0,0,1,4,3,3,2,5,1,4,0,4,2,0,2,1,2,0
ENFJ,NF,"enfj, the baddas protagonist",33jVZaR8nrDgKkOsaOPqaY,50,0.56188,0.132711385,0.60996,0.197032988,-7.01476,2.668976878,0.74,0.443087498,0.062724,0.047373512,0.32256,0.301245234,0.177342,0.133984102,0.46162,0.205918241,126.7755,30.47493306,0.034245751,0.127548538,1,3,4,5,1,5,0,2,1,2,6,0,0,4,0,4,3,3,0,1,0,2,0,3
ENFJ,NF,enfj,0wuh5baG4PN0Vd0wVMgJj2,37,0.346945946,0.127119792,0.461945946,0.196972072,-12.77018919,3.862585942,0.486486486,0.50671171,0.043745946,0.013998682,0.433909395,0.347067903,0.127505405,0.084258501,0.143083784,0.116188285,122.6587838,28.59229122,0.835741081,0.215274005,2,6,0,0,3,3,0,0,2,1,2,1,3,2,0,1,4,1,2,0,0,0,0,4
ENFJ,NF,enfj ,0zRkroCJcwcn0f7ShUYMNS,50,0.5282,0.165884272,0.53376,0.215328374,-9.5283,3.911125227,0.62,0.490314351,0.045458,0.026231723,0.408713256,0.343817754,0.150572,0.108256958,0.381954,0.212994452,125.39542,35.05684717,0.336063586,0.382375956,2,4,0,2,1,2,0,1,3,1,5,1,1,1,3,4,3,6,4,0,2,1,1,2
ENFJ,NF,⋆ ˚｡⋆୨୧˚ enfj ˚୨୧⋆｡˚ ⋆,7ALD3kzOx5xt72viaRWvTG,45,0.627422222,0.141936684,0.640511111,0.142664836,-6.988888889,2.364209413,0.688888889,0.468179366,0.043973333,0.032330013,0.199784867,0.207725813,0.194451111,0.138293669,0.592355556,0.194804116,119.0893556,27.1330391,0.132478002,0.267757202,2,4,1,2,0,3,1,0,2,2,6,1,1,3,0,4,2,3,0,4,1,0,1,2
ENFJ,NF,ENFJ - Olivia,2lBKC2dKSWai1pYKNXVxqS,10,0.6041,0.156038777,0.6045,0.146619121,-6.5265,1.308416452,0.8,0.421637021,0.07309,0.04087546,0.27187,0.211112261,0.18693,0.113390231,0.4479,0.221050246,131.8582,30.89851516,1.01E-05,1.88E-05,0,2,0,2,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
ENFJ,NF,how does it feel to be like enfj,3UhVovvMWgRTVsSOF9iJBy,50,0.59924,0.152812618,0.55834,0.21164734,-8.24824,3.49827947,0.48,0.50467205,0.068212,0.067852727,0.34926676,0.358121952,0.166546,0.141106792,0.397748,0.213271656,118.23236,26.77303117,0.094434216,0.262815299,1,4,0,6,0,3,1,0,3,1,2,4,1,2,3,2,6,1,0,0,2,3,3,2
ENFJ,NF,pov: you're enfj,20EcZyHx06KcNFQ5yH1JWY,29,0.58637931,0.120990381,0.593862069,0.165205872,-6.659689655,2.46357925,0.75862069,0.43549417,0.061993103,0.060408484,0.298313724,0.3052596,0.161944828,0.102000016,0.449137931,0.181888059,128.4231379,31.38466322,0.048633569,0.168329043,0,1,3,2,0,5,0,1,0,2,2,1,0,1,0,4,2,2,0,2,0,0,0,1
ENFJ,NF,ENFJ,4iqx69NrUuj9AFM7WO9U2g,16,0.5229375,0.08816157,0.821875,0.123501619,-6.4110625,1.867410416,0.875,0.341565026,0.035525,0.010385085,0.03904025,0.059833328,0.1148,0.068700228,0.6559375,0.184040383,118.1711875,29.82368246,0.046774871,0.185664052,0,0,0,0,0,3,0,1,1,0,0,0,0,6,0,3,0,0,0,1,0,0,0,1
