feature,importance
valence_mean,0.03891426188784529
acousticness_mean,0.035035924938235284
speechiness_mean,0.034431827276848244
energy_mean,0.03316695651243591
danceability_mean,0.03225903553458894
acousticness_stdev,0.031923621429776984
loudness_mean,0.0304252647115371
instrumentalness_stdev,0.03010158396823453
danceability_stdev,0.030032984859408075
valence_stdev,0.029972217569145344
instrumentalness_mean,0.0299596707533671
speechiness_stdev,0.02936299184917324
tempo_mean,0.02915111503043915
mode_mean,0.028769764527340723
liveness_mean,0.028613483616316437
energy_stdev,0.02856867530547968
tempo_stdev,0.027758576871836867
loudness_stdev,0.02755159157010328
liveness_stdev,0.02747653462061564
mode_stdev,0.025402858057064978
CMajor_count,0.020988695271325953
Aminor_count,0.020984239887712516
Eminor_count,0.02009862094176227
C#/DbMajor_count,0.019411663997337604
AMajor_count,0.019045256115433656
GMajor_count,0.018492528003099876
FMajor_count,0.018265517127349876
DMajor_count,0.017701249364257612
Bminor_count,0.01746290892257825
G#/AbMajor_count,0.01693428070497846
F#/GbMajor_count,0.016715114093939592
Cminor_count,0.016120597843812548
C#/Dbminor_count,0.01602855299275131
EMajor_count,0.0157013978389017
Fminor_count,0.015584576119962095
A#/Bbminor_count,0.015352255083183776
F#/Gbminor_count,0.015343994496284999
A#/BbMajor_count,0.01533503930141541
D#_EbMajor_count,0.014547553973805001
BMajor_count,0.014128197800962847
Gminor_count,0.01308121888752405
Dminor_count,0.012870021607202553
G#/Abminor_count,0.012458923741893129
D#_Ebminor_count,0.008468654992732182
