mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,BMajor_count,Fminor_count,F#/GbMajor_count,A#/Bbminor_count,Bminor_count
ISTJ,SJ,hokuto hidaka 💎,2f8u5gHin8TSi2As2bRr78,31.0,0.496258065,0.154315255,0.55043871,0.236354662,-8.379870968,2.960462641,0.806451613,0.401609664,0.049416129,0.057140237,0.37676129,0.345607205,0.146048387,0.092326269,0.38806129,0.227049849,116.4849355,26.4127764,0.040853124,0.148705881,1.0,5.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0
ISTJ,SJ,therapy,0hGs3MhTerQK5haAU6cfWi,50.0,0.50124,0.123825183,0.66964,0.193373674,-7.95586,3.735983153,0.6,0.494871659,0.052894,0.053668957,0.194273356,0.26975533,0.135136,0.073093174,0.35758,0.22079428,126.95276,30.94419697,0.364447762,0.375697926,0.0,5.0,2.0,1.0,2.0,4.0,0.0,2.0,2.0,1.0,4.0,0.0,2.0,3.0,1.0,4.0,2.0,4.0,0.0,1.0,2.0,1.0,2.0,5.0
ISTJ,SJ,Администратор | ISTJ,2vWJvmXRIOHVmPYFGnPrpj,50.0,0.56368,0.121456205,0.70458,0.180228437,-7.0698,3.272047047,0.32,0.471212071,0.065174,0.078036869,0.158706586,0.210332726,0.215434,0.154032726,0.482238,0.26009354,129.47656,27.80936673,0.043973065,0.140820756,2.0,3.0,4.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,6.0,2.0,2.0,1.0,3.0,9.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0
ISTJ,SJ,istj estp rivals to coworkers to lovers to exes back to lovers,4YTmKw3P5xHHT1SoZsUkB1,50.0,0.66282,0.098010347,0.79702,0.094537217,-4.46546,1.275217328,0.56,0.501426536,0.063028,0.047280233,0.06378761,0.082146102,0.176672,0.119382982,0.6862,0.190775325,120.28874,21.94193195,0.00060732,0.002290872,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,7.0,1.0,2.0,1.0,2.0,4.0,0.0,1.0,2.0
ISTJ,SJ,ISTJ,2ohyVqBdeO907D7EhgN3SK,8.0,0.52975,0.186342043,0.503,0.293302379,-9.289875,4.845868916,1.0,0.0,0.038675,0.011201626,0.47765,0.394129645,0.17045,0.107289142,0.42825,0.264267586,123.99375,24.81107775,0.167613875,0.307155026,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISTJ,SJ,lan wangji,6Zhtnf6bCvzbUMMeH9gXWn,17.0,0.504764706,0.100692309,0.471411765,0.161081524,-9.741058824,3.145047664,0.647058824,0.492592183,0.040341176,0.023026427,0.323302353,0.299192274,0.136335294,0.072386652,0.414088235,0.211875275,111.732,29.85007805,0.027572892,0.094081813,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0
ISTJ,SJ,istj,6VK8MUEG8I2u0LkmH4Tf3r,18.0,0.531222222,0.137445842,0.752555556,0.152317865,-7.726888889,3.036175979,0.888888889,0.323380833,0.062822222,0.087088924,0.225763889,0.184552776,0.2663,0.244712201,0.610611111,0.259481415,126.5702778,31.75918312,0.008532029,0.030651652,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
ISTJ,SJ,Mbti mitski because I am mentally ill,7kjajGlZkacQbDymISUXnF,16.0,0.452375,0.115443998,0.4399375,0.257474521,-9.95475,4.112052051,0.8125,0.403112887,0.0402375,0.015119077,0.376663706,0.410187357,0.10566875,0.023646472,0.35375625,0.250057148,115.0195,25.74293561,0.026123639,0.097097935,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
ISTJ,SJ,valya,2f5rYeKfq54iRv4lxtfXtW,19.0,0.582684211,0.151221711,0.813789474,0.094740921,-4.477578947,1.652359334,0.526315789,0.512989176,0.097336842,0.071073618,0.084744842,0.125401528,0.217226316,0.17035761,0.512994737,0.207597823,130.9747895,25.79611075,0.042983811,0.132844339,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
ISTJ,SJ,you crave the academic validation - study playlist,1g0U0fhgAxFPIjFcsH6qUb,50.0,0.313632,0.174301747,0.1478956,0.140395283,-21.19332,6.446708182,0.42,0.498569382,0.053676,0.061910962,0.93404,0.096462314,0.11507,0.065714619,0.150842,0.16458854,101.7669,29.55720808,0.716483758,0.328583715,1.0,4.0,1.0,1.0,5.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,5.0,0.0,1.0,7.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0
ISTJ,SJ,jamie,1MSAh4BV6qHsb8ewgCDDch,20.0,0.62105,0.146824448,0.45211,0.256028966,-11.84995,6.129978823,0.85,0.366347549,0.069025,0.06387912,0.4671685,0.36537024,0.185085,0.146808057,0.377795,0.263855103,135.89365,34.76718028,0.265245792,0.394094003,0.0,4.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ISTJ,SJ,istj 1w9,2dov2f2KctTbphAqjcWHBd,50.0,0.5291,0.184860814,0.5115,0.193728218,-8.26806,3.91803538,0.7,0.46291005,0.071866,0.065736203,0.37800426,0.344592429,0.154776,0.106026238,0.3866,0.219432943,119.8106,29.61484862,0.04106667,0.145522864,4.0,10.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,5.0,3.0,0.0,3.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,4.0,1.0,2.0
ISTJ,SJ,Lovey Dovey Omihina,07DYqcR8NkF35HQSM8vSJe,41.0,0.50902439,0.14920665,0.364226829,0.194500485,-10.2142439,4.17089968,0.902439024,0.300406229,0.039973171,0.014724096,0.62986678,0.302630953,0.148990244,0.08944302,0.3635,0.232487204,110.7033659,31.74900191,0.033929289,0.146983636,1.0,4.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,4.0,0.0,2.0
ISTJ,SJ,♤ mcsm oc cuz POG,1o1xdjRboUDqOcZkli2hdg,50.0,0.4603,0.139104608,0.552848,0.237734181,-8.98062,5.14809404,0.72,0.453557368,0.046484,0.029411884,0.331161268,0.357887305,0.158262,0.095446916,0.35778,0.198766261,126.32178,33.59170027,0.172592667,0.315970748,2.0,7.0,0.0,3.0,2.0,5.0,0.0,1.0,4.0,2.0,4.0,1.0,0.0,2.0,0.0,4.0,2.0,4.0,3.0,0.0,2.0,1.0,1.0,0.0
ISTJ,SJ,ISTJ,0btPl7vXX9UZxMZNG1ksCG,17.0,0.656058824,0.122265833,0.768529412,0.162259097,-4.240941176,1.624797313,0.529411765,0.514495755,0.103858824,0.086957203,0.158707206,0.223113879,0.180064706,0.103997758,0.562705882,0.162051213,122.5025294,26.61208216,7.29e-05,0.000223038,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
