mbti,playlist_id,track_count,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
ESFJ,1WbGBiriToKwYWxzEz0LkL,50,0.5798000000000001,0.61224,-7.30774,0.66,0.0570639999999999,0.30753608,0.066848142,0.155468,0.4632820000000001,126.45654
ESFJ,5Xnk0CNixQOMFuLWNiSCQZ,50,0.59564,0.5649599999999999,-7.004459999999998,0.4,0.1134139999999999,0.29263984,0.0109651752,0.179176,0.3912799999999999,130.0979
ESFJ,37i9dQZF1DZ06evO2mIPPY,50,0.45012,0.500158,-13.18464,0.5,0.070518,0.5843256,0.40607808,0.667196,0.437076,119.57963999999998
ESFJ,1JCPkiu7X1K0bTkT5PjHnl,50,0.6302400000000001,0.67202,-5.73424,0.6,0.0763959999999999,0.25452714,0.00838526,0.172012,0.5469180000000001,117.41988
ESFJ,7mCdobNDA0ZDlU0GGyuWww,50,0.60638,0.57806,-7.174740000000001,0.56,0.0749679999999999,0.4295244000000001,0.0006881758,0.1740939999999999,0.403834,114.3671
ESFJ,37i9dQZF1DZ06evO1pDV5j,50,0.6587199999999999,0.6523400000000001,-8.294580000000002,0.56,0.3357220000000001,0.13397,0.0078145472,0.241712,0.4183,128.236
ESFJ,6BQWUdk1xVfWdgKQKuUnUu,50,0.62312,0.53772,-7.34362,0.78,0.084626,0.3269122,0.0004633057999999,0.15756,0.492818,115.11968
ESFJ,4nOkl70qd78MbPq4DL6FLb,50,0.6727599999999999,0.6903800000000001,-5.557500000000001,0.7,0.079414,0.1825314,0.003381272,0.17149,0.48046,117.17158
ESFJ,0pV8ICgtqsaD7BT1Xvnflp,50,0.6057000000000001,0.56874,-7.2835,0.8,0.103636,0.312685552,0.0236038822,0.1512639999999999,0.4424280000000001,127.45984
ESFJ,6VfTmFmtJUSQhyQFsQvOsI,34,0.5131176470588236,0.5677058823529412,-7.7681764705882355,0.5294117647058824,0.0481882352941176,0.3438520882352942,0.0628786282352941,0.154385294117647,0.3349705882352941,126.68679411764704
ESFJ,00Nk7vRZ0qMwObSUhY7hR3,50,0.6713799999999999,0.65074,-6.44192,0.52,0.090954,0.144251,0.0184846086,0.1591919999999999,0.39497,113.0478
ESFJ,3aVsLjJaHunrEhlVRp9AxT,36,0.5741111111111112,0.556377777777778,-8.281972222222223,0.7777777777777778,0.0468222222222222,0.31524575,0.0939414611111111,0.1548611111111111,0.4368027777777777,118.96836111111112
ESFJ,3bF3pdi4J3BWhPzcFbVcyK,50,0.54564,0.51282,-7.748660000000001,0.8,0.052866,0.47014816,0.0073638672,0.1447519999999999,0.359942,115.66372
ESFJ,07uL3T6J8OCQkntU1pvQRC,39,0.5791282051282051,0.5322820512820514,-8.004615384615384,0.9487179487179488,0.0480128205128205,0.4048648717948718,0.025972364102564,0.1492230769230769,0.4632923076923077,124.95520512820512
ESFJ,4HZevNE1zQvzKrF813uoV6,35,0.7187428571428572,0.696657142857143,-5.306628571428571,0.7142857142857143,0.0737457142857142,0.2004517142857143,4.277142857142857e-06,0.1603885714285714,0.6423142857142856,116.44554285714284
ESFJ,4Jmai8aXyAbOZJEO3kmkTj,50,0.7491400000000001,0.6734600000000001,-6.270740000000001,0.7,0.21678,0.1641044,0.0046733414,0.176678,0.481232,127.07146
ESFJ,62DySUoJvxpJPj8Za7Z95R,50,0.59276,0.7351799999999998,-5.96788,0.58,0.092526,0.089662566,0.1641283971999999,0.242182,0.500326,118.7808
ESFJ,08kKwo07PepNFa9LKi2J4a,50,0.7491600000000002,0.74956,-5.18802,0.4,0.093612,0.141564098,0.002366332,0.176934,0.64998,124.64432
ESFJ,7zNQqbEI26asaE4fwFHKgj,21,0.6338095238095238,0.5840000000000001,-6.715809523809523,0.7142857142857143,0.0658904761904761,0.2083266666666666,7.652380952380952e-06,0.1535,0.3963857142857143,116.30004761904762
ESFJ,6PsawaiOyvzoNX6h6B8DUE,50,0.59982,0.62412,-6.62818,0.7,0.06984,0.31601722,0.0131069847999999,0.162078,0.53888,123.96956
ESFJ,4Pakq0h41gItdq7U8tefvH,25,0.55484,0.6228000000000001,-8.2838,0.92,0.03632,0.3127284,0.0173740584,0.193816,0.490208,112.933
ESFJ,4gSwqkPdTwgGI6Zm5wrw1h,50,0.58894,0.58616,-7.12696,0.62,0.07021,0.35560902,0.0101538743999999,0.151146,0.4722,122.7522
ESFJ,3KUUbVw5iQldsOznrhXkKA,40,0.58825,0.53255,-7.716675,0.8,0.067815,0.436983425,0.02037943625,0.17268,0.4105724999999999,127.682075
ESFJ,1gwlpFIAWQwSUaz81VDbGF,50,0.55742,0.61256,-7.37032,0.78,0.046502,0.37190516,0.0488218696,0.1598699999999999,0.536656,122.9504
ESFJ,1DY8jnxmMPVeavNfmYIAge,50,0.60134,0.63092,-6.008380000000001,0.72,0.065536,0.245250452,0.0132012461999999,0.164598,0.4729940000000001,130.62892
ESFJ,1Kr7ugI2dAMpfaePMPHy6H,50,0.6057000000000001,0.56874,-7.2835,0.8,0.103636,0.312685552,0.0236038822,0.1512639999999999,0.4424280000000001,127.45984
ESFJ,7IQao2YE8ZWxqHqsbbrK6a,16,0.540375,0.6123749999999999,-7.38675,0.75,0.05471875,0.4463055625,0.0479655224999999,0.1885437499999999,0.5865625,123.10425
ESFJ,19vWt4LqqznZOHJtsQjumb,16,0.617625,0.6545,-5.531,0.4375,0.07530625,0.2324956249999999,0.015507066875,0.19971875,0.5086875,121.3428125
ESFJ,46Pa7S2PLPNdvsDLQKcyRP,24,0.5445,0.5398458333333332,-9.155625,0.875,0.0421041666666666,0.4003614166666667,0.0607401458333333,0.1842291666666666,0.4413333333333333,128.667625
ESFJ,6QQwyYpSdkRvmgYKITxZHz,50,0.5599600000000001,0.6274400000000001,-7.64498,0.68,0.053234,0.3181255199999999,0.046468977,0.1641659999999999,0.508082,123.7224
ESFJ,5v1lQp6AhfMcLyvaEOHeMn,34,0.6027941176470588,0.6094999999999999,-7.011852941176471,0.6176470588235294,0.0741147058823529,0.3289771176470588,0.0549336188235294,0.1505647058823529,0.4874058823529412,127.91299999999998
ESFJ,4qdDXPabceqO5aTcPEIhR2,29,0.6692758620689656,0.6763103448275862,-5.412172413793104,0.6206896551724138,0.0649137931034482,0.246151724137931,7.606896551724138e-06,0.1385103448275862,0.6566551724137932,115.42920689655172
ESFJ,0HpYgOxkSnFjZRXTwhImW8,50,0.5865102040816326,0.7818979591836736,-5.085632653061224,0.7142857142857143,0.0820918367346938,0.1431046673469388,0.0122638636734693,0.2051530612244898,0.5645204081632653,125.52391836734694
ESFJ,6VGdnZIsShIgKpYYCFIZWU,49,0.5663877551020408,0.6425510204081633,-6.627959183673469,0.6938775510204082,0.0640836734693877,0.2944837142857143,0.0148379853061224,0.1851326530612245,0.5046326530612245,123.85818367346938
ESFJ,67rFYnO5YNJsGsLSctQyzZ,50,0.5025799999999999,0.63216,-6.31662,0.82,0.0573439999999999,0.218769,0.0196716442,0.179116,0.274624,131.87828
ESFJ,2ndIXL3CGNGzvrm2QRgzdT,45,0.6779111111111111,0.7648222222222223,-3.773622222222222,0.5111111111111111,0.08454,0.2038673333333333,1.845422222222222e-05,0.1933333333333333,0.6172444444444444,123.3117111111111
ESFJ,7ow2gq61qcRuCiYPorzxFx,16,0.66825,0.7597499999999999,-4.448437500000001,0.5625,0.07315625,0.099804375,0.000275373125,0.17980625,0.6191875,119.13525
ESFJ,2z9Lh5RQGO3OslVcV9SU39,23,0.548,0.6340869565217392,-7.512434782608696,0.6521739130434783,0.0534434782608695,0.2670514086956521,0.1250525156521739,0.1970086956521739,0.4824782608695653,119.59978260869566
ESFJ,57WDZ3JKG5fznIilh4OV6Z,50,0.5977799999999999,0.5476399999999999,-7.44552,0.88,0.092556,0.3345061999999999,0.000181421,0.129712,0.4161379999999999,120.29288
ESFJ,1oEwKEC1fEjnG1wNb6X0Aw,34,0.6144117647058822,0.5910882352941177,-8.012264705882354,0.6764705882352942,0.0796588235294117,0.355785,0.0312135429411764,0.1868999999999999,0.5118823529411765,113.95264705882352
ESFJ,3hKxmZJSD6HrJ4ueUi80id,28,0.5710357142857143,0.6256785714285715,-5.636607142857143,1.0,0.037375,0.1723125,0.0004641071428571,0.1487357142857142,0.384,122.20857142857145
ESFJ,4dfbokVXcsAIWdOOrVrQfh,50,0.6101399999999999,0.6262599999999999,-7.437239999999999,0.64,0.066818,0.237639588,0.1631312706,0.162848,0.4251799999999999,124.14298
ESFJ,7u38ULaDFRn8uhDaEqe25M,16,0.6621874999999999,0.73625,-5.7229375000000005,0.375,0.08886875,0.1052575,0.0003507437499999,0.148425,0.4841875,116.4554375
ESFJ,10lSHJWnukqrWWkr2Vcr23,50,0.6672999999999999,0.7186600000000002,-4.53096,0.56,0.0693,0.0738395579999999,0.000221468,0.1592,0.57186,123.3546
ESFJ,07qqJqJT9Q8BjCkTvK2AIc,25,0.6102799999999999,0.66448,-6.13212,0.84,0.075892,0.2960428,4.724e-05,0.15478,0.549624,126.71236
ESFJ,6cr4OiwpyU7PfF2AoRS4Ce,30,0.6375,0.6561666666666667,-5.640133333333333,0.6333333333333333,0.0816666666666666,0.1854706666666666,2.6195333333333337e-05,0.1457633333333333,0.4783333333333333,112.47276666666669
ESFJ,35KbZZJyr6Q7WsUkgRseZd,33,0.5191818181818182,0.6386060606060605,-6.762818181818181,0.7878787878787878,0.0538121212121212,0.258094,0.0158793051515151,0.1424939393939394,0.3669121212121213,125.67060606060606
ESFJ,62IhGxhnctHWQ0YVfCcMR5,24,0.530625,0.57975,-8.272333333333334,0.7916666666666666,0.0420625,0.2902427291666666,0.17180420625,0.1650083333333333,0.5013333333333333,128.844375
ESFJ,70Qv4cQnBwNFVPnNlW0sIr,22,0.5371363636363636,0.6124090909090909,-9.32281818181818,0.5454545454545454,0.0645318181818181,0.3555845454545454,0.11914594,0.1514181818181818,0.4708636363636364,125.61718181818183
ESFJ,5EQmUdey35tUhnBUT34IKH,23,0.7265652173913044,0.8332173913043477,-3.0759130434782604,0.6521739130434783,0.0823347826086956,0.1124565217391304,0.0001444930434782,0.1980217391304347,0.6609565217391304,123.07321739130434
ESFJ,0M0yRMidLgPCnmXYF4MxVc,26,0.6584615384615385,0.7246153846153847,-5.888923076923078,0.5769230769230769,0.089226923076923,0.2121721538461538,0.0001712565384615,0.1713961538461538,0.6451153846153848,122.89965384615384
ESFJ,3w18OEybTwJvk2aGXBDCXJ,20,0.5606500000000001,0.6930499999999999,-7.060249999999999,0.85,0.0505799999999999,0.1539349799999999,0.002274087,0.1938899999999999,0.54475,133.23115
ESFJ,5l2J9ojjALxYdClAYjywby,50,0.51674,0.4853159999999999,-9.18918,0.74,0.049066,0.38421346,0.0447120522,0.163314,0.394962,118.25976
ESFJ,16nNHOSN17U8s2TRgtJj4Y,29,0.5396551724137931,0.628793103448276,-6.69951724137931,0.6206896551724138,0.0491137931034482,0.2996628275862068,0.0339493855172413,0.2119103448275862,0.4896172413793103,127.35727586206896
ESFJ,79rxRT5PTLIYJpTyMnLNEE,11,0.5511818181818182,0.4472727272727272,-10.190909090909091,0.9090909090909092,0.0333272727272727,0.6297272727272727,0.1259028454545454,0.1405181818181818,0.4058181818181818,118.92027272727272
ESFJ,3TBMzSwZ37nfwB3zV8Yp3w,27,0.6568148148148147,0.6847407407407405,-6.693703703703704,0.4444444444444444,0.0623666666666666,0.119938237037037,0.0849725707407407,0.1534148148148148,0.5556666666666666,121.3074074074074
ESFJ,6v9SREHme4ngFh69G9nEc3,50,0.6200000000000001,0.81014,-5.24774,0.56,0.06276,0.071302958,0.0292523341999999,0.211148,0.5451400000000001,126.31651999999998
ESFJ,22rtob75w31WLyxRUuTbFX,19,0.6376842105263159,0.6124736842105264,-6.770842105263159,0.631578947368421,0.0773526315789473,0.3633826315789474,0.0139317,0.1448631578947368,0.5887894736842106,126.50968421052632
ESFJ,6CotAWNUEw2UmYyK9sv3Pv,12,0.5880833333333333,0.6246666666666667,-7.346166666666665,0.6666666666666666,0.0631416666666666,0.2882075833333333,0.09950318,0.2363333333333333,0.6443333333333333,141.58091666666664
ESFJ,24WCUtRtXmIeKbYiyc1Oyn,50,0.6790600000000001,0.8398399999999999,-4.523300000000001,0.56,0.0914499999999999,0.0954165999999999,0.0295570884,0.222472,0.74252,119.23846
ESFJ,1gAXClSbaOqNQduJecJJSl,14,0.6364285714285715,0.7915714285714285,-4.135428571428571,0.6428571428571429,0.1023071428571428,0.1425714285714285,0.0,0.1783285714285714,0.5247857142857143,131.54321428571433
ESFJ,6cmSpIpVYwKO2DfFkPmFAg,16,0.6781250000000001,0.723875,-5.6185625,0.625,0.05654375,0.2368068749999999,6.0975e-05,0.2492125,0.737875,116.8235
ESFJ,3o1PR1WvxkSZQt8peCzeLJ,50,0.6084,0.59194,-6.74948,0.88,0.081018,0.30997668,0.000843761,0.12985,0.423778,113.12938000000004
ESFJ,4eFu4FNgZPxoCJHw95rKXz,50,0.6249600000000001,0.6557000000000001,-6.568919999999999,0.76,0.05653,0.2298788399999999,0.0412765628,0.169234,0.5358,117.1549
ESFJ,5N6wWoWNqHDYwsT9mNcD3e,18,0.7125555555555556,0.7465555555555555,-5.230555555555556,0.3888888888888889,0.0807833333333333,0.1050466666666666,0.0009975655555555,0.1509222222222222,0.7682777777777778,119.00244444444444
ESFJ,2xr4l9OXNLTSvsEtRHVQwO,50,0.5723199999999999,0.56057,-7.52888,0.84,0.0492779999999999,0.390821,0.0209681984,0.1640619999999999,0.401168,115.36172
ESFJ,5FkVuulq71HDtxE9nloFnf,30,0.6159666666666667,0.6805666666666668,-6.449600000000001,0.7333333333333333,0.0524066666666666,0.2529903333333333,0.0209914403333333,0.1444133333333333,0.5188333333333334,119.37816666666666
ESFJ,2z4CLBs6RCaRBDHFKMCzVc,50,0.5808399999999999,0.59222,-6.9007000000000005,0.96,0.046978,0.22587006,0.0002007587999999,0.125958,0.4011,126.7572
ESFJ,5wOArmIIG5wqDvmzQZO3Yf,36,0.6465,0.7193611111111111,-8.050333333333334,0.6111111111111112,0.0417472222222222,0.2571925000000001,0.0195424319444444,0.2551777777777777,0.7547222222222222,121.18794444444444
ESFJ,0GsSXDsfvxBztQjmvoaxnv,43,0.5939534883720929,0.6590465116279068,-6.270232558139535,0.6744186046511628,0.0608906976744186,0.118685488372093,0.0517565962790697,0.205553488372093,0.4906604651162791,121.48625581395348
ESFJ,1Mo8xspuTMDpYkjn7trg7X,50,0.61822,0.6920799999999998,-5.98886,0.72,0.073112,0.19102234,0.0009187436,0.172432,0.5877220000000001,117.89356
ESFJ,650rCo3uAgRglaD6C9sYpX,50,0.59564,0.5649599999999999,-7.004459999999998,0.4,0.1134139999999999,0.29263984,0.0109651752,0.179176,0.3912799999999999,130.0979
ESFJ,0P5VIZlRqMTgeCj4LzGMen,50,0.55976,0.487052,-9.50722,0.9,0.0431619999999999,0.540674,0.0059786755999999,0.172766,0.423102,119.75378
ESFJ,68B4lIV1lUZYoXJULdfGl4,50,0.6413800000000001,0.70896,-6.084679999999999,0.64,0.063812,0.2069617,0.0424785068,0.19904,0.555394,125.06234
