genre,count,percentage
black-metal,871,1.9849589790337283
comedy,868,1.9781221513217866
acoustic,862,1.9644484958979036
ambient,861,1.9621695533272563
alt-rock,854,1.9462169553327258
chill,842,1.918869644484959
salsa,836,1.9051959890610755
cantopop,830,1.8915223336371922
emo,824,1.8778486782133093
gospel,819,1.866453965360073
new-age,814,1.8550592525068368
club,811,1.848222424794895
deep-house,804,1.8322698268003645
blues,800,1.8231540565177755
dancehall,791,1.8026435733819508
forro,789,1.7980856882406564
country,779,1.7752962625341842
indian,772,1.7593436645396536
death-metal,770,1.754785779398359
samba,769,1.752506836827712
k-pop,768,1.7502278942570646
sertanejo,758,1.7274384685505926
grindcore,754,1.7183226982680038
power-pop,742,1.690975387420237
drum-and-bass,723,1.64767547857794
pop-film,719,1.6385597082953511
dance,715,1.629443938012762
breakbeat,715,1.629443938012762
afrobeat,715,1.629443938012762
guitar,715,1.629443938012762
classical,705,1.6066545123062899
german,704,1.6043755697356425
goth,702,1.5998176845943481
hardstyle,685,1.5610756608933456
french,679,1.5474020054694622
disco,662,1.5086599817684594
ska,655,1.4927073837739289
garage,650,1.481312670920693
minimal-techno,638,1.453965360072926
show-tunes,629,1.4334548769371012
groove,623,1.4197812215132177
heavy-metal,621,1.4152233363719233
rock-n-roll,614,1.399270738377393
folk,610,1.390154968094804
dub,607,1.3833181403828623
singer-songwriter,601,1.3696444849589788
jazz,588,1.340018231540565
industrial,585,1.3331814038286234
hip-hop,582,1.3263445761166819
opera,581,1.3240656335460348
funk,542,1.2351868732907931
hardcore,520,1.1850501367365542
party,483,1.100729261622607
hard-rock,482,1.09845031905196
edm,452,1.0300820419325432
psych-rock,446,1.01640838650866
dubstep,442,1.0072926162260711
piano,412,0.9389243391066546
electronic,368,0.8386508659981768
progressive-house,368,0.8386508659981768
indie-pop,356,0.8113035551504102
electro,331,0.7543299908842297
punk,291,0.6631722880583409
metal,289,0.6586144029170465
romance,278,0.6335460346399271
pop,253,0.5765724703737466
metalcore,219,0.4990884229717411
punk-rock,217,0.49453053783044665
chicago-house,214,0.48769371011850504
rock,168,0.3828623518687329
house,126,0.2871467639015497
detroit-techno,105,0.23928896991795806
sad,61,0.1390154968094804
sleep,46,0.1048313582497721
