#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,song_frequency
109,Always an Angel,Alexandria,89,5B,26,2025-10-06,01:56,60,,Always an Angel,2025-04-18,46,86,0,26,0,10,-8,D#/E♭ Major,3,0vOMOL1waArWl95rqITEqH,QZK6F2434167,1
110,Not Strong Enough,"boygenius,Julien Baker,Phoebe Bridgers,Lucy Dacus",127,3B,80,2025-10-06,03:54,72,"ambient folk, ",the record,2023-03-31,50,0,0,31,0,10,-6,C♯/D♭ Major,4,09DR0sHnQUhHOiSNttc1mv,USUG12209242,2
111,The Way Life Goes Slowed,"Foxilitus,Abyss Sounds",131,10A,28,2025-10-07,02:11,43,,The Way Life Goes Slowed,2021-06-01,87,71,90,84,0,0,-15,B Minor,3,52WNLNRoqy6OuWl4OeouZA,NLHR52104334,1
116,Everything Is Romantic,Orchestra Club,75,5A,52,2025-11-12,02:21,76,,Everything Is Romantic,2025-10-22,24,8,19,6,0,30,-6,C Minor,1,7250RSp7sakMDZoeXuywlx,QT6E62511218,1
118,a thousand years,Christina Perri,139,6B,41,2025-11-22,04:45,86,soft pop,a thousand years,2011-10-18,42,31,0,16,0,10,-7,A#/B♭ Major,3,6lanRgr6wXibZr8KgzXxBl,USAT21102141,2
119,A Thousand Years,James Arthur,139,10B,47,2025-11-22,04:14,69,soft pop,A Thousand Years,2023-03-24,53,40,0,27,0,0,-6,D Major,3,5h5CQwgjgQrBUacsqR2zR7,DEE862300503,1
123,Location Unknown ◐ (feat. BEKA) - Brooklyn Session,"HONNE,BEKA",92,7B,29,2025-11-25,05:28,72,,Love Me / Love Me Not (Sessions),2018-00-00,51,94,0,40,0,0,-7,F Major,4,43kiDtoYD0nDJYxzQwclpT,GBAHS1900132,1
124,Wish You Were Here,Neck Deep,160,6B,50,2025-12-04,04:08,73,"pop punk, punk, emo",The Peace And The Panic,2017-08-18,53,43,0,54,0,0,-6,A#/B♭ Major,3,4Ssi6tKwrTHi5qvDndrZRP,USHR21779008,1
126,Happier Than Ever,Billie Eilish,81,8B,23,2025-12-07,04:58,85,,Happier Than Ever,2021-07-30,33,77,0,30,0,10,-9,C Major,3,4RVwu0g32PAqgUiJoXsdF8,USUM72105936,3
128,everything u are,Hindia,156,10B,88,2025-12-08,03:56,87,"indonesian indie, indonesian pop","Doves, '25 on Blank Canvas",2025-02-24,49,3,0,55,0,20,-4,D Major,4,5WOSNVChcadlsCRiqXE45K,FR10S2592467,1
